,nums,labels
0,firehundrede og enogtredive; femhundrede og treogfyrre,1
1,trehundrede og enogtyve; ethundrede og ti,0
2,treogtreds; femhundrede og atten,1
3,nihundrede og femoghalvfjerds; trehundrede og enoghalvfjerds,0
4,syvhundrede og fireogtreds; syvhundrede og tooghalvtreds,0
5,nihundrede og treogtyve; ethundrede og fire,0
6,ottehundrede og niogfirs; trehundrede og enogtyve,0
7,trehundrede og otteogtredive; tohundrede og otteogtreds,0
8,firehundrede og enogfyrre; tohundrede og otteoghalvfems,0
9,ottehundrede og halvfjerds; syvhundrede og tretten,0
10,ottehundrede og treogfirs; syvhundrede og otteoghalvtreds,0
11,ethundrede og fireogtyve; tohundrede og halvfjerds,1
12,trehundrede og seks; femhundrede og syvoghalvfjerds,1
13,firehundrede og femoghalvfems; firehundrede og syvoghalvtreds,0
14,trehundrede og treogtreds; ottehundrede og ti,1
15,tooghalvfjerds; tohundrede og atten,1
16,trehundrede og enogtredive; syvhundrede og fireogfyrre,1
17,nihundrede og ni; tohundrede og treogtreds,0
18,femhundrede og treds; sekshundrede og syvogtyve,1
19,firehundrede og niogtredive; ottehundrede og enogfyrre,1
20,ethundrede og treoghalvfems; firehundrede og seksogfyrre,1
21,syvhundrede og enogtyve; ethundrede og halvfems,0
22,femhundrede og halvfjerds; ottehundrede og halvfems,1
23,ottehundrede og syvogtredive; ethundrede og ti,0
24,nihundrede og syv; syvoghalvtreds,0
25,trehundrede og otteoghalvtreds; trehundrede og niogtyve,0
26,femhundrede og syvogtredive; femhundrede og treoghalvfjerds,1
27,trehundrede og fjorten; femhundrede og syvogtreds,1
28,nihundrede og otte; ottehundrede og toogtreds,0
29,trehundrede og treoghalvfems; ethundrede og otteogfyrre,0
30,ethundrede og otteogfirs; ethundrede og fem,0
31,ottehundrede og treds; seksoghalvfjerds,0
32,sekshundrede og fireoghalvfjerds; tohundrede og nioghalvtreds,0
33,ethundrede og niogfirs; tohundrede og tolv,1
34,syvhundrede og niogfyrre; syvhundrede og treogfirs,1
35,tohundrede og toogtredive; nihundrede og otteogtreds,1
36,sekshundrede og otteoghalvfjerds; sekshundrede og nitten,0
37,femhundrede og toogfirs; ethundrede og fireogfyrre,0
38,ottehundrede og enogfyrre; ottehundrede og enogfirs,1
39,otteoghalvtreds; ottehundrede og treds,1
40,sekshundrede og femoghalvtreds; nihundrede og elleve,1
41,syvhundrede og femogfyrre; sekshundrede og femoghalvfjerds,0
42,tohundrede og syvogfirs; ottehundrede og syvoghalvfems,1
43,nihundrede og femoghalvfjerds; seksoghalvfems,0
44,syvhundrede og treoghalvtreds; toogtreds,0
45,femhundrede og nitten; ethundrede og femogtyve,0
46,femhundrede og seks; femhundrede og fireogfirs,1
47,enogfirs; sekshundrede og otteoghalvfems,1
48,trehundrede og syvoghalvtreds; femhundrede og fireoghalvfems,1
49,femhundrede og syvogtreds; ethundrede og syvoghalvfjerds,0
50,femhundrede og otteogfirs; ethundrede og enogfirs,0
51,syvhundrede og atten; firehundrede og seksoghalvtreds,0
52,syvhundrede og seksoghalvtreds; trehundrede og fireoghalvfems,0
53,nihundrede og femogtredive; nihundrede og seksten,0
54,trehundrede; sekshundrede og seksoghalvfems,1
55,otteoghalvfems; femhundrede og treogtredive,1
56,trehundrede og syvoghalvfems; ottehundrede og to,1
57,trehundrede og halvtreds; nihundrede og fireoghalvfems,1
58,femhundrede og enogtyve; firehundrede og enoghalvfjerds,0
59,trehundrede og fyrre; ottehundrede og femten,1
60,trehundrede og enogfyrre; trehundrede og femoghalvtreds,1
61,firehundrede og tre; femhundrede og seksogfyrre,1
62,femhundrede og treogtredive; femhundrede og tooghalvtreds,1
63,elleve; ottehundrede og enoghalvfems,1
64,ethundrede og enogtyve; ottehundrede og fireogtyve,1
65,femhundrede og otte; treoghalvtreds,0
66,syvhundrede og syvogfyrre; femhundrede og enogtreds,0
67,trehundrede og fem; ottehundrede og halvtreds,1
68,ottehundrede og syv; trehundrede og nioghalvfems,0
69,sekshundrede og treogtyve; trehundrede og enogtredive,0
70,nihundrede og treogfirs; ottehundrede og otte,0
71,ethundrede og syvoghalvtreds; femoghalvfems,0
72,nihundrede og syvoghalvtreds; syvhundrede og seksten,0
73,femhundrede og syvoghalvtreds; sekshundrede og enoghalvtreds,1
74,ottehundrede og otteoghalvfjerds; syvogtredive,0
75,femhundrede og syvoghalvfems; otteoghalvtreds,0
76,nihundrede og femten; ottehundrede og sytten,0
77,femhundrede og enoghalvfjerds; syvhundrede og fireoghalvfems,1
78,nihundrede og fireoghalvfems; ottehundrede og fem,0
79,nihundrede og fireoghalvfjerds; sekshundrede og femoghalvfjerds,0
80,trehundrede og fireogtredive; sekshundrede og fyrre,1
81,trehundrede og nioghalvfjerds; firehundrede og seksogtreds,1
82,firehundrede og syvogtreds; nihundrede og femogtyve,1
83,ottehundrede og enogtredive; firehundrede,0
84,seksogtredive; femhundrede og to,1
85,sekshundrede og otteogtyve; ethundrede og tooghalvtreds,0
86,firehundrede og tre; syvhundrede og syvogtyve,1
87,sekshundrede og firs; syvhundrede og syvogtyve,1
88,seksoghalvfjerds; syvogtreds,0
89,ethundrede og treoghalvtreds; fireogtreds,0
90,firehundrede og syvogfirs; sekshundrede og otteogtredive,1
91,sekshundrede og fireogfyrre; femhundrede og treogtyve,0
92,femhundrede og fireogtyve; firehundrede og otte,0
93,femhundrede og otteoghalvtreds; sekshundrede og tooghalvfjerds,1
94,trehundrede og treogtyve; firehundrede og seksogtyve,1
95,tohundrede og fireogtreds; ottehundrede og enoghalvtreds,1
96,tohundrede og seksogtyve; femhundrede og otte,1
97,ethundrede og seksogtredive; ottehundrede og otteoghalvfjerds,1
98,tohundrede og niogtredive; femhundrede og syvogtredive,1
99,sekshundrede og seksoghalvfems; femhundrede og to,0
100,trehundrede og femogtyve; ethundrede og seksogfyrre,0
101,tohundrede og enogfyrre; ottehundrede og fireogfirs,1
102,ottehundrede og et; syvhundrede og niogfirs,0
103,to; ottehundrede og ni,1
