,nums,labels
0,nihundrede og otteogtyve,0
1,nihundrede og ti,0
2,femhundrede og fire,0
3,sekshundrede og ti,0
4,firehundrede og treogtreds,0
5,otteoghalvfjerds,0
6,trehundrede og treogfirs,0
7,tooghalvtreds,0
8,enoghalvfjerds,0
9,firehundrede og atten,0
10,sekshundrede og femogtredive,0
11,tohundrede og nioghalvfems,0
12,trehundrede og halvtreds,0
13,syvhundrede og treoghalvfjerds,0
14,sekshundrede og otteogtreds,0
15,treoghalvfems,0
16,femhundrede og femogfirs,0
17,ottehundrede og syvoghalvfjerds,0
18,ottehundrede og toogtredive,0
19,femhundrede og seksogfirs,0
20,ethundrede og tooghalvfems,0
21,femhundrede og otteogtredive,0
22,tohundrede og enogfyrre,0
23,ethundrede og enoghalvfems,0
24,ethundrede og nioghalvfjerds,0
25,firehundrede og femogtredive,0
26,trehundrede og treoghalvfems,0
27,ottehundrede og treds,0
28,syvhundrede og niogtreds,0
29,sekshundrede og halvfjerds,0
30,syvhundrede og syvogtreds,0
31,tohundrede og femogtredive,0
32,sekshundrede og syvogfirs,0
33,firehundrede og treds,0
34,nihundrede og otte,0
35,sekshundrede og enogfirs,0
36,tohundrede og toogtreds,0
37,tohundrede og toogfirs,0
38,firehundrede og toogfirs,0
39,trehundrede og otteoghalvfjerds,0
40,ethundrede og niogfyrre,0
41,sekshundrede og tooghalvtreds,0
42,femhundrede og treds,0
43,nihundrede og femogtredive,0
44,firehundrede og treogfyrre,0
45,femhundrede og seks,0
46,femhundrede og syvogtredive,0
47,nihundrede og fireoghalvtreds,0
48,nihundrede og femoghalvfjerds,0
49,ethundrede og otteogtyve,0
50,sekshundrede og otteogtyve,0
51,femhundrede og tretten,0
52,nihundrede og atten,0
53,syvhundrede og niogfyrre,0
54,ottehundrede og otteoghalvfems,0
55,sekshundrede og otteogtyve,0
56,syvhundrede og tooghalvtreds,0
57,trehundrede og syv,0
58,syvhundrede og seksoghalvfjerds,0
59,femhundrede og seksoghalvfems,0
60,nihundrede og enogtredive,0
61,ethundrede og femten,0
62,ethundrede og treds,0
63,nihundrede og niogfyrre,0
64,ottehundrede og fireogfirs,0
65,syvhundrede og fireogtyve,0
66,syvhundrede og femoghalvfjerds,0
67,tohundrede og otteogfirs,0
68,ottehundrede og enogfirs,0
69,ottehundrede og femogfyrre,0
70,syvhundrede og toogtredive,0
71,nihundrede og fireogtredive,0
72,femhundrede og otte,0
73,tohundrede og enogtyve,0
74,firehundrede og tooghalvfems,0
75,trehundrede og enogtredive,0
76,nioghalvtreds,0
77,femhundrede og seksogfirs,0
78,sekshundrede og femogtredive,0
79,tohundrede og otteoghalvfjerds,0
