,nums,labels
0,nine hundred and fifty two; ninety eight,0
1,five hundred and seventy four; eight hundred and thirty nine,1
2,one hundred and ninety six; one hundred and twenty nine,0
3,one hundred and seventy two; four hundred and thirty five,1
4,five hundred and eighty five; three hundred and fifty seven,0
5,nine hundred and five; five hundred and ninety,0
6,nine hundred and ninety eight; six hundred and thirty seven,0
7,six hundred and sixty four; five hundred and ninety two,0
8,eight hundred and sixty five; two hundred and ninety two,0
9,one hundred and fifty one; three hundred and thirty nine,1
10,six hundred and thirty seven; six hundred and eighteen,0
11,fifty seven; five hundred and twenty two,1
12,five hundred and thirty five; three hundred and forty two,0
13,seven hundred and seventy four; five hundred and twenty eight,0
14,seven hundred and fifty four; six hundred and sixty seven,0
15,two hundred and seventy nine; six hundred and twelve,1
16,three hundred and sixteen; five hundred and twelve,1
17,one hundred and eighty nine; three hundred and eighty two,1
18,six hundred and twenty; six hundred and twenty eight,1
19,eight hundred and seventy two; six hundred and sixty nine,0
20,eighteen; eight hundred and eighty two,1
21,six hundred and eighty eight; six,0
22,two hundred and twenty; nine hundred and eighteen,1
23,one hundred and eighty eight; nine hundred and ninety seven,1
24,one hundred and twelve; five hundred and eighty five,1
25,seven hundred and eighty five; four hundred and ninety,0
26,five hundred and sixty five; fifty nine,0
27,six hundred and ninety four; one hundred and eighty four,0
28,nine hundred and nine; eight hundred and sixty nine,0
29,thirty seven; six hundred and thirty nine,1
30,seven hundred and eighty one; five hundred and thirty seven,0
31,four hundred and nine; twenty three,0
32,nine hundred and seventy eight; seven hundred and eleven,0
33,seven hundred and ninety two; fourteen,0
34,two hundred and seventeen; one hundred and twenty six,0
35,four hundred and three; nine hundred and forty,1
36,two hundred and fifty; five hundred and forty two,1
37,fifty nine; four hundred and ninety five,1
38,ninety; nine hundred,1
39,three hundred and seventy three; two hundred and forty six,0
40,nine hundred; twenty nine,0
41,one hundred and ninety four; five hundred and seventy two,1
42,six hundred and forty seven; five hundred and sixty one,0
43,one hundred and twenty nine; two hundred and sixty nine,1
44,seven hundred and forty nine; seven hundred and six,0
45,eight hundred and forty five; one hundred and two,0
46,three hundred and thirty five; three hundred and one,0
47,six hundred and fifty four; three hundred and four,0
48,five hundred and forty four; forty three,0
49,two hundred and sixty seven; six hundred and twenty two,1
50,six hundred and eighty; four hundred and ninety five,0
51,six hundred and ninety five; six hundred and eighty seven,0
52,three hundred and six; four hundred and sixteen,1
53,nine hundred and forty six; one hundred and fifty seven,0
54,eight; four hundred and eighty seven,1
55,eight hundred and thirty nine; twelve,0
56,sixty eight; seven hundred and thirty six,1
57,three hundred and seventy four; three hundred and thirty eight,0
58,six hundred and seventy seven; seven hundred and seventy two,1
59,nine hundred and ninety five; seven hundred and nineteen,0
60,nine hundred and twenty eight; five hundred and forty two,0
61,five hundred and five; two hundred and ninety,0
62,four hundred and twenty two; seven hundred and sixty,1
63,two hundred and forty four; four hundred and seventy eight,1
64,two hundred and seventy two; seven hundred and fifty one,1
65,fourteen; one hundred and eleven,1
66,seven hundred and seventy two; eight hundred and three,1
67,seventy five; one hundred and eighty four,1
68,seven hundred and seven; eight hundred and seven,1
69,six hundred and thirty one; five hundred and sixty six,0
70,one hundred and fifty seven; four hundred and forty six,1
71,two hundred and sixty; seven hundred and fourteen,1
72,four hundred and seventy two; eight hundred and thirty seven,1
73,six hundred and twenty eight; seven hundred and eighty two,1
74,sixty; eight hundred and forty eight,1
75,ninety two; eight hundred and thirty eight,1
76,one hundred and eleven; four hundred and twenty five,1
77,forty five; seven hundred and fifty nine,1
78,nine hundred and forty six; eight hundred and sixty three,0
79,three hundred and thirty one; four hundred and forty six,1
80,three hundred and sixty two; three hundred and thirty,0
81,four hundred and seventy; eight hundred and fifty three,1
82,six hundred and seventy three; six hundred and sixty three,0
83,three hundred and sixteen; two hundred and twenty four,0
84,six; thirty three,1
85,forty; six hundred and fifty seven,1
86,five hundred and twenty; four hundred and two,0
87,four hundred and sixteen; three hundred and fourteen,0
88,eight hundred and ninety one; seven hundred and thirty five,0
89,three hundred and forty seven; five hundred and forty eight,1
90,three hundred and fifty six; one hundred and twenty two,0
91,eight hundred and ninety five; eight hundred and seventy three,0
92,two hundred and thirty eight; sixty four,0
93,one hundred and eleven; one hundred,0
94,seven hundred and eighteen; eight hundred and eight,1
95,one hundred and six; four hundred and sixty five,1
96,one hundred and fifty seven; four hundred and sixty eight,1
97,one hundred and forty five; seven hundred and sixteen,1
98,five hundred and seventy nine; four hundred and sixty nine,0
99,four hundred and sixty eight; nine hundred and thirty,1
100,two hundred and seventy one; eight hundred and twenty eight,1
101,seven hundred and sixty six; seven hundred and fifteen,0
102,two hundred and fifty three; nine hundred and forty seven,1
103,six hundred and seventeen; eight hundred and thirty seven,1
104,five hundred and two; nine hundred and sixty one,1
105,sixty eight; two hundred,1
106,eight hundred and seventy three; forty three,0
107,six hundred and eighty; five hundred and fifty eight,0
108,three hundred and fifty nine; four hundred and fifty,1
109,eight hundred and twenty three; seven hundred and twenty seven,0
110,one hundred and forty nine; seven hundred and seventy eight,1
111,five hundred and ninety one; one hundred and twenty four,0
112,one hundred and sixty six; eight hundred and sixty six,1
113,two hundred and twenty three; four hundred and fourteen,1
114,nine hundred and thirty; one hundred and fifty one,0
115,thirty four; five hundred,1
116,six hundred and seventy eight; eight hundred and twenty four,1
117,nine hundred and eighty; seven hundred and eighty four,0
118,four hundred and sixty; eight hundred and seventy eight,1
119,six hundred and forty; five hundred and nineteen,0
120,one hundred and forty nine; six hundred,1
121,seven hundred and six; eight hundred and forty nine,1
122,five hundred and twenty; five hundred and forty six,1
123,three hundred and twenty four; seven hundred and eighteen,1
124,six hundred and fifty four; five hundred and seventy,0
125,seven hundred and twenty two; three hundred and thirty eight,0
126,one hundred and twenty; three hundred,1
127,one hundred and fifty nine; five hundred and one,1
128,eighty two; one hundred and seventy four,1
129,one hundred and forty three; six hundred and fifteen,1
130,nine hundred and ninety six; ninety one,0
131,nine hundred and twenty four; five hundred and seven,0
132,eight hundred and seventy three; five hundred and nine,0
133,four hundred and nineteen; nine hundred and eighty six,1
134,two hundred and forty nine; nine hundred and seventy seven,1
135,nine hundred and twenty eight; one hundred and eighty two,0
136,two hundred and thirty nine; six hundred and thirty six,1
137,two hundred and seventy three; eighty one,0
138,fifty six; six hundred and ninety seven,1
139,four; nine hundred and eighty five,1
140,six hundred and seventy seven; eight hundred and seventy two,1
141,seven hundred and forty nine; four hundred and sixteen,0
142,six hundred and fourteen; two hundred and eighty one,0
143,one hundred and two; four hundred and ninety two,1
144,nine hundred and one; five hundred and fifteen,0
145,four hundred and forty nine; five hundred and seventy,1
146,seven hundred and ninety seven; nine hundred and fourteen,1
147,two hundred and sixty four; two hundred and forty seven,0
148,nine hundred and fifty six; four hundred and sixteen,0
149,nine hundred and sixty six; four hundred and forty nine,0
150,eight hundred and thirty six; six hundred and thirty six,0
151,seven hundred and sixty four; three hundred and eighty four,0
152,nine hundred and eighty seven; five hundred and seventy one,0
153,three hundred and fifteen; seven hundred and eighty eight,1
154,five hundred and seventy seven; one hundred and sixty seven,0
155,fifty six; nineteen,0
156,five hundred and seventy nine; seven hundred and ninety six,1
157,nine hundred and seventy; nine hundred and fifty two,0
158,four hundred and eighty seven; two hundred and twenty two,0
159,two hundred and forty four; nine hundred and ninety nine,1
160,seven hundred and fifty one; twenty five,0
161,seven hundred and thirteen; five hundred and eighty nine,0
162,forty five; seven hundred and forty six,1
163,four hundred and eighty four; two hundred and thirty four,0
164,one thousand; three hundred and sixteen,0
165,five hundred and twelve; two hundred and forty four,0
166,eight hundred and thirty nine; six hundred and four,0
167,ninety four; seven hundred and ninety six,1
168,two hundred and ninety nine; four hundred,1
169,ninety three; eight hundred and forty two,1
170,twenty three; one hundred and two,1
171,one hundred and forty six; six hundred and twenty eight,1
172,eight hundred and thirty eight; seven hundred and fourteen,0
173,four; one hundred and eighty three,1
174,four hundred and sixty seven; one hundred and six,0
175,three hundred and nineteen; six hundred and forty two,1
176,eight hundred and ninety nine; six hundred and thirty five,0
177,six hundred and twenty one; six hundred and eighty eight,1
178,six hundred and twenty seven; nine hundred and thirty three,1
179,four hundred and nine; seven hundred and forty,1
180,eight hundred and sixty four; four hundred and forty five,0
181,five hundred and eighty six; seven hundred and eighty one,1
182,twenty seven; seven hundred and fifty one,1
183,thirty nine; six hundred and seventy three,1
184,one hundred and fifty three; four hundred and ninety three,1
185,three hundred and ninety two; seventy three,0
186,six hundred and ninety nine; eight hundred and sixty three,1
187,one hundred and ninety two; four hundred and ninety six,1
188,six hundred and thirty two; eight hundred and fifty one,1
189,one hundred and thirteen; nine hundred and seventy six,1
190,two hundred and twenty seven; four hundred and forty nine,1
191,eight hundred and twenty; thirty five,0
192,three hundred and fifty four; six hundred and eighty two,1
193,four hundred and fifty three; seven hundred and thirteen,1
194,three hundred and twenty three; one hundred and eighty six,0
