,nums,labels
0,eight hundred and seventy three,0
1,six hundred and eighty eight,0
2,three hundred and ninety two,0
3,four hundred and six,0
4,four hundred and fifty nine,0
5,nine hundred and nineteen,0
6,four hundred and eighty nine,0
7,forty seven,0
8,two hundred and sixty four,0
9,two hundred and thirty eight,0
10,nine hundred and seven,0
11,eight hundred and eighty one,0
12,nine hundred and sixty three,0
13,six hundred and ten,0
14,two hundred and twenty five,0
15,seven hundred and twenty eight,0
16,six hundred and ten,0
17,five hundred and thirty nine,0
18,two,0
19,thirty two,0
20,two hundred and forty eight,0
21,five hundred and eight,0
22,seven hundred and seventy seven,0
23,eight hundred and ninety eight,0
24,five hundred and two,0
25,eighty seven,0
26,nine,0
27,two hundred and seventy six,0
28,one hundred and sixty two,0
29,four hundred and thirty,0
30,seven hundred and seventy six,0
31,six hundred and ninety four,0
32,nine hundred and three,0
33,ninety four,0
34,seven hundred and eighty five,0
35,one hundred and twenty eight,0
36,four hundred and four,0
37,two hundred and thirty six,0
38,six hundred and twenty four,0
39,three hundred and twelve,0
40,one hundred and eighty four,0
41,seven hundred and seventy,0
42,one hundred and fifty one,0
43,seven hundred and eighty four,0
44,four hundred and sixty four,0
45,one hundred and twenty five,0
46,six hundred and thirty nine,0
47,seven hundred and one,0
48,eight hundred and twenty three,0
49,one hundred and forty two,0
50,nine hundred and ninety two,0
51,four hundred and twenty eight,0
52,six hundred and seventy eight,0
53,seven hundred and thirty seven,0
54,six hundred and seventy nine,0
55,eight hundred and forty seven,0
56,twenty six,0
57,seven hundred and ninety eight,0
58,two hundred and seventy six,0
59,four hundred and sixty five,0
60,eight hundred and sixty four,0
61,six hundred and ten,0
62,eight hundred and forty four,0
63,five hundred and forty eight,0
64,fourteen,0
65,eight hundred and twenty,0
66,eighty one,0
67,eight hundred and thirty three,0
68,eight hundred and forty three,0
69,fifty nine,0
70,five hundred and twenty,0
71,six hundred and seventy four,0
72,eight hundred and seventy six,0
73,seven hundred and ninety three,0
