,nums,labels
0,deux cent quatre vingt dix; sept cent quarante cinq,1
1,cinq cent treize; neuf cent quarante et un,1
2,huit cent quatre vingt cinq; huit cent soixante,0
3,neuf cent dix sept; sept cent quatre vingt treize,0
4,sept cent quatre vingt dix; quatre cent quatre vingt treize,0
5,huit cent vingt six; deux cent quatre vingt quatorze,0
6,trois cent soixante et onze; cinquante quatre,0
7,neuf cent neuf; cent quatre vingt trois,0
8,neuf cent quarante sept; quatre cent dix neuf,0
9,sept cent quarante sept; quatre cent quatre vingt cinq,0
10,deux cent quatre vingt dix neuf; six cent onze,1
11,trente six; huit cent six,1
12,cinq cent soixante cinq; quatre cent soixante neuf,0
13,soixante huit; quatre cent soixante neuf,1
14,huit cent onze; cinq cent cinquante quatre,0
15,six cent quarante quatre; six cent vingt huit,0
16,sept cent trente trois; cinq cent huit,0
17,quatre cent quarante; quatre cent quatre vingt onze,1
18,cinq cent cinquante trois; deux cent quarante sept,0
19,cent soixante quinze; quatre cent soixante,1
20,cinq cent soixante dix neuf; six cent cinquante sept,1
21,quarante six; quarante et un,0
22,huit cent vingt huit; trente et un,0
23,neuf cent trente six; trois cent quarante et un,0
24,huit cent soixante cinq; deux cent vingt quatre,0
25,quatre cent vingt six; six cent quatre vingt sept,1
26,trois cent soixante huit; deux cent dix sept,0
27,cent quarante et un; cinq cent cinquante huit,1
28,huit cent vingt quatre; quatre cent quarante deux,0
29,huit cent quatre vingt dix; quatre cent soixante dix huit,0
30,neuf cent dix; quatre cent vingt cinq,0
31,six cent trente huit; vingt cinq,0
32,deux cent quatre vingt quatorze; quarante six,0
33,neuf cent vingt et un; sept cent cinquante deux,0
34,deux cent cinq; deux cent quarante neuf,1
35,quatre cent un; deux cent soixante dix,0
36,cinq cent quatre vingt quatorze; cinq cent quarante deux,0
37,six; cent treize,1
38,neuf cent quinze; six cent trente,0
39,sept cent soixante; cinq cent soixante treize,0
40,deux cent huit; sept cent soixante trois,1
41,neuf cent cinquante deux; six cent soixante dix sept,0
42,cinq cent vingt deux; quatre cent cinquante trois,0
43,six cent soixante quinze; cent,0
44,cinq cent quatre vingt seize; neuf cent cinquante six,1
45,neuf cent soixante deux; quatre vingt un,0
46,neuf cent quatre vingt dix; six cent soixante dix huit,0
47,trente deux; cinq cent soixante treize,1
48,trois cent six; deux cent quatorze,0
49,cinq cent quatorze; quatre cent quatre vingts,0
50,cent trente sept; sept cent trente trois,1
51,six cent cinquante quatre; cent vingt trois,0
52,quatre cent quinze; sept cent quinze,1
53,huit cent dix neuf; quatre cent vingt et un,0
54,neuf cent soixante trois; cent treize,0
55,six cents; trois cent cinquante sept,0
56,six cent soixante deux; deux cent soixante dix neuf,0
57,cent onze; cent quatre vingt dix huit,1
58,deux cent quarante deux; soixante deux,0
59,sept cent cinquante trois; deux cent trente cinq,0
60,cent trente quatre; cent quatre vingt seize,1
61,sept cent quarante deux; deux cent quinze,0
62,huit cent trente huit; huit cent trente sept,0
63,deux cent soixante deux; cinq cent quatre vingt deux,1
64,trois cents; huit cent soixante dix neuf,1
65,six cent quarante trois; six cent deux,0
66,six cent soixante quatorze; neuf cent onze,1
67,quatre cent soixante cinq; trois cent quatre vingt treize,0
68,six cent quatre vingt treize; six cent cinquante sept,0
69,sept cent soixante deux; cinq cent cinquante trois,0
70,neuf cent un; sept cent soixante neuf,0
71,neuf cent seize; quatre vingt onze,0
72,cinquante sept; quatre cent douze,1
73,quatre cent soixante dix; six cent soixante trois,1
74,cent trente trois; quatre cent quatre vingt dix huit,1
75,cent soixante quatre; sept cent dix neuf,1
76,six cent soixante deux; cinquante huit,0
77,sept cent soixante quatorze; cinq cent quarante neuf,0
78,quatre cent vingt sept; quatre cent trente huit,1
79,trois cent dix sept; cinquante cinq,0
80,neuf cent quarante cinq; six cent quarante quatre,0
81,huit cent soixante douze; cent quatre vingt dix huit,0
82,cent soixante sept; neuf cent trente deux,1
83,soixante; neuf cent vingt et un,1
84,six cent dix; neuf cent trente,1
85,cinq cent trente trois; quatre cent quatre vingt dix sept,0
86,trois cent soixante deux; huit cent trente sept,1
87,cinq cent cinquante neuf; neuf cent sept,1
88,deux cent cinquante neuf; trois cent trois,1
89,quarante et un; quatre vingt quinze,1
90,trois cent quatorze; sept cent soixante,1
91,deux cent quarante; cent cinquante,0
