,nums,labels
0,quatre cent soixante quatre,0
1,trente cinq,0
2,deux cent quarante cinq,0
3,neuf cent trente trois,0
4,cent quatre vingt dix huit,0
5,six cent soixante et un,0
6,trois cent dix,0
7,quatre vingt treize,0
8,neuf cent cinquante huit,0
9,sept cent quarante sept,0
10,six cent trente trois,0
11,neuf cent quatre vingt treize,0
12,quatre cent soixante dix neuf,0
13,huit cent quatre vingt seize,0
14,trente six,0
15,deux cent onze,0
16,deux cent cinquante six,0
17,cinq cent seize,0
18,deux cent quatre vingt six,0
19,quatre cent soixante treize,0
20,trois cent cinquante trois,0
21,cinq cent trente et un,0
22,huit cent quatre vingt deux,0
23,huit cent soixante six,0
24,deux cents,0
25,sept cent treize,0
26,neuf cent quatre vingt sept,0
27,neuf cent cinquante deux,0
28,quatre cent quatre vingt un,0
29,neuf cent quatre vingt quatre,0
30,trois cent dix,0
31,deux cent soixante cinq,0
32,quatre cent soixante huit,0
33,huit cent quatre vingt sept,0
34,cent vingt cinq,0
35,cinq cent quatre vingt dix sept,0
36,huit cent quatre vingt sept,0
37,sept cent dix huit,0
38,cent quatre vingts,0
39,huit cent soixante dix,0
40,neuf cent quatre vingt trois,0
41,sept cent quatre vingt quatre,0
42,quatre cent vingt quatre,0
43,huit cent quatre vingt dix,0
44,six cent quatre vingt dix huit,0
45,deux cent cinquante quatre,0
46,neuf cent quatre vingt dix huit,0
47,cinquante trois,0
48,huit cent vingt deux,0
49,trois cent quatre vingt quatre,0
50,sept cent quarante cinq,0
51,six cent quarante quatre,0
52,cinq cent soixante quatre,0
53,deux cent soixante dix,0
54,huit cent quatre vingt neuf,0
55,cinq cent trente deux,0
56,neuf,0
57,neuf cent quatre vingt trois,0
58,trois cent quarante sept,0
59,cinquante sept,0
60,trois cent soixante neuf,0
61,trois cent huit,0
62,neuf cent quatre vingt dix,0
63,cinq cent quatre vingt seize,0
64,quatre cent soixante quatre,0
65,deux cent soixante quinze,0
66,deux cent trente et un,0
67,quarante,0
68,trois cent deux,0
69,cinq cent quatre vingt quatre,0
70,huit cent huit,0
71,quatre vingt quinze,0
72,cinq cent quarante six,0
73,huit cent quatre vingt quatre,0
74,sept cent quatre vingts,0
75,six cent cinquante deux,0
76,neuf cent quatorze,0
77,cent quatre vingt quatre,0
78,cent trente,0
79,cent dix sept,0
80,trois cent soixante seize,0
81,trois cent quarante cinq,0
