,nums,labels
0,百六十九; 四百五十九,1
1,四百四十; 五百八十一,1
2,百十七; 二百八十三,1
3,三百九十四; 九百六,1
4,六十四; 三百,1
5,二百四十一; 五百七十八,1
6,七百六十; 百三十四,0
7,二百二; 八百二十六,1
8,三百八; 二十七,0
9,六百四十五; 九百三十五,1
10,八百九十三; 八百十三,0
11,六百三十六; 三百九十二,0
12,百八十五; 五十一,0
13,五百十四; 六百九,1
14,九百八; 百三十二,0
15,二百八十五; 八百二十九,1
16,六百七; 九百二十七,1
17,百六十四; 五百四,1
18,五百五; 二百三十二,0
19,三百五; 四百三十六,1
20,七百三; 八百八十四,1
21,五百四十八; 千,1
22,三百二; 百七十七,0
23,百四; 三十八,0
24,五百七; 六百六十七,1
25,四百七十; 四百二十,0
26,五百四十九; 六十,0
27,八百三十八; 九百,1
28,七百二十八; 九百二十四,1
29,四百四十八; 八百六十五,1
30,五百四十六; 五百二,0
31,九百二十二; 百二十九,0
32,百四十四; 二百四十,1
33,二百九; 五百十七,1
34,九百四十一; 四百九十一,0
35,三百三十二; 八百八十二,1
36,七百八十二; 二百二十七,0
37,百十七; 三百四十八,1
38,四百六; 五十一,0
39,百三十六; 百七十八,1
40,四百五十六; 八百二十四,1
41,六百十六; 六百七十六,1
42,二百七十六; 四百四十四,1
43,九百五十一; 七百三十六,0
44,四百七十四; 九百六十,1
45,四百七; 三百九十一,0
46,九百十九; 六百一,0
47,九百二十三; 九百七十六,1
48,五十六; 九百六十五,1
49,三百六十四; 百四十五,0
50,七百八十五; 九百九十四,1
51,百十七; 三百九十一,1
52,七百三十; 百六十四,0
53,六百六十八; 三,0
54,二百四十六; 六百四十二,1
55,十四; 三百九十二,1
56,六百七十四; 五百十九,0
57,六百九十六; 六十六,0
58,六百二十二; 六百三十五,1
59,八百二十二; 六百九十一,0
60,八百六; 二十四,0
61,四百五十; 九百十四,1
62,二百九十八; 四十二,0
63,七百十; 八百二十五,1
64,八百三十七; 百三十七,0
65,九十五; 三百六十二,1
66,四百五十一; 七百四十二,1
67,六百八十六; 七百六十二,1
68,六百九十一; 百四十一,0
69,五百七十六; 二百七十五,0
70,八百三十三; 七百十六,0
71,七百六十四; 二百三十九,0
72,七; 二百六十九,1
73,八百七十六; 百七十,0
74,五百三十六; 三,0
75,三百七十八; 七百六十一,1
76,五百七十七; 四百九十四,0
77,百七十九; 六百三十三,1
78,三百五十六; 三百九十六,1
79,五百四十六; 九百八十八,1
80,七百八十五; 四百三十,0
81,三百八十七; 二百六十三,0
82,百六十一; 七百九十一,1
83,七百六十九; 九百五十,1
84,八百八十九; 五百十一,0
85,七百十六; 四百六,0
86,五百十; 五百八十六,1
87,九百七十二; 三,0
88,七百三十六; 二百九十九,0
89,七百八十七; 百十五,0
90,二百六; 二百三十六,1
91,七百二; 百四,0
92,三十; 二百九十,1
93,九百十五; 九百三十七,1
94,六百九十九; 九百四十六,1
95,三百十; 五百八十一,1
96,七十六; 七百七十八,1
97,二百十; 六百五十七,1
98,八百二十九; 七十四,0
99,二百六十七; 五百二十七,1
100,六百十六; 四百五十,0
101,七百五十五; 九百六十一,1
102,五百二十二; 三百九,0
103,九十五; 五百二十五,1
104,七百六十三; 五百三十五,0
105,五百六十八; 四百四十一,0
106,六百六; 四百六十六,0
107,四百二十二; 五百七十九,1
108,六百三; 八百九十六,1
109,三百十二; 百六十六,0
110,九十一; 八,0
111,八百六; 七百九十二,0
112,五百十九; 五百七十二,1
113,四百二十九; 八百二十八,1
114,四百八十; 四百七十九,0
115,四百八十六; 二百三十四,0
116,九百二十九; 八百九十九,0
117,三十一; 九十五,1
118,七百十五; 五百五十五,0
119,六百五十二; 九百四,1
120,四百三十一; 二百九,0
121,百九十四; 五百十八,1
122,五百六十二; 七百十三,1
123,八百七十四; 六百四十四,0
124,九百九十; 三百二十三,0
125,八百九十一; 六百二十一,0
126,九百八十九; 六百十八,0
127,八十九; 四百四十六,1
128,三百三十二; 七百十一,1
129,百六; 六百六,1
130,四百五十三; 八百三十六,1
131,四百六十四; 八十八,0
132,三百六十; 二百三,0
133,百二十六; 七百三十一,1
134,百五十三; 五百四十九,1
135,七百六十三; 五百二十,0
136,六; 四百七十一,1
137,二百五十一; 四百四十八,1
138,九百八十九; 十八,0
139,七百九十一; 三百二十五,0
140,三百五; 八百五十二,1
141,九百四十七; 四百九十一,0
142,三百十五; 五百十六,1
143,五百二十四; 七百九十六,1
144,九百七十一; 五百八十,0
145,五百八十八; 六百二十一,1
146,九百四; 三百六十三,0
147,四百二十三; 八十四,0
148,五百三十六; 八十八,0
149,三百六十三; 六百三十二,1
150,百八十三; 七百六十,1
151,三百十八; 二十九,0
152,五百五十八; 八百三十二,1
153,百八十二; 三百七,1
154,七百九十四; 四百九十一,0
155,百二十九; 三百九十二,1
156,四十八; 三百八十六,1
157,六百六十五; 五百七十六,0
158,三百六十八; 五百八,1
159,八百三十八; 九百四十二,1
160,九百六十四; 八十三,0
161,七百九十; 九百七十五,1
162,七百八十九; 六百四十六,0
163,四百四十; 八百七十一,1
164,五百十三; 五百四十四,1
165,九十四; 百三十五,1
166,二百二十; 二百四十三,1
167,五百三十八; 九百六十九,1
168,三百六十; 二百九十七,0
169,九十四; 六百十六,1
170,八百四十四; 七百六十四,0
171,二百四十一; 二百三十六,0
172,四百四十五; 七百九十四,1
173,四百十二; 七百十一,1
174,七百六十一; 三百八十八,0
175,五百四十四; 八百二十,1
176,四百八; 八百二十八,1
177,八十八; 七十六,0
178,二十六; 百四十五,1
179,六百五十九; 百八十三,0
180,八百七十六; 百八十四,0
181,五十四; 七百八十九,1
182,八百五十二; 七百四十五,0
183,九百四十七; 四十七,0
184,五百五十四; 八百三十九,1
185,七百十一; 五百五十八,0
186,五百三十八; 百八十二,0
187,五十三; 二百八十六,1
188,六百九十八; 三百九十八,0
189,五百七十一; 七百六十九,1
190,六百八十; 六百七十八,0
191,八百二十四; 百四十一,0
192,二百五十七; 三百七十一,1
193,八百八十二; 四百五十五,0
194,八百四十九; 五百七十四,0
195,五百九十七; 八百十四,1
196,八百二十八; 五百二十七,0
197,五百二十九; 五百三十二,1
198,二十七; 六百十八,1
199,三百二十一; 二百四十四,0
200,六十四; 二百七十二,1
201,六百六十三; 七百,1
202,八百七十四; 五百五十四,0
203,六百三十七; 百六十三,0
204,十; 三十六,1
205,四百八十三; 二百九十九,0
206,七百六十四; 九百七十七,1
207,百二十; 七百五十八,1
208,五百七十四; 六百九十五,1
209,三百三; 二百二十七,0
210,五百四十; 五十七,0
211,百三; 九百七十六,1
212,九百十三; 四百八十七,0
213,百三十一; 六百三十五,1
214,七百十七; 九百三十七,1
215,六百六十七; 六百八十三,1
216,七百十一; 七百十五,1
217,六百七十七; 四百五十九,0
218,百六十六; 六十五,0
219,四百九十六; 四百四十一,0
220,二百七十六; 六百五十,1
221,九百八十二; 九百十七,0
222,二百三十四; 六百四十九,1
223,九百六十一; 三百十一,0
224,九百九十六; 六百四十九,0
225,百七十五; 二百七十五,1
226,九十九; 七百六十八,1
227,六百二十六; 八百二十三,1
228,百九; 百八十五,1
229,七百八十八; 百三十七,0
230,三百十六; 三百二十,1
231,二百四十; 二百五十九,1
232,五百九十八; 五百五十五,0
233,百四十一; 九百七十七,1
234,三百七十九; 四百七十六,1
235,七百八十二; 百八十六,0
236,二百二十七; 九百八十六,1
237,二百四十七; 四百五十六,1
238,百八十九; 三百三十四,1
239,五百三十四; 九百五十九,1
240,七百十二; 二百十,0
241,百十四; 十六,0
242,五百二十五; 八百八,1
243,四百二十四; 七十六,0
244,五百五十; 四十八,0
245,五百十九; 九百五十七,1
246,二百十; 六百九十四,1
247,九百三十五; 八百五十一,0
248,五百八十九; 四百八,0
249,五百一; 七百七十,1
250,六百五十一; 七百五十九,1
251,六百九; 六百八十六,1
252,九百八十八; 六百九十六,0
253,六百十五; 七百六十六,1
254,三百七十九; 百九十四,0
255,八百四十一; 七百八十四,0
256,六百四十三; 五百四十二,0
257,二百四十; 三,0
258,六百二十五; 三百七十九,0
259,七百二十七; 二百六十六,0
260,四百八十三; 七百三十八,1
261,五百二十一; 六百三十八,1
262,五百五十六; 二百八十四,0
263,九百四; 六百六十一,0
264,四; 四百四,1
265,百九十七; 六百三十,1
266,九百; 二百四十八,0
267,十一; 七百四十一,1
268,百三十三; 百九十六,1
269,八百八十九; 十六,0
270,四百九; 五百九十三,1
271,五百二十七; 七百二十四,1
272,百五; 六百五,1
273,二百八十五; 七百三十八,1
274,百六十六; 七百五十三,1
275,百三十七; 五百三十一,1
276,八百二十一; 四百八十七,0
277,百四十六; 八百五十三,1
278,三; 二百二十五,1
279,七百九十; 五百八十三,0
280,二百六十七; 五百四十六,1
281,四百五十四; 五十,0
282,三百八十七; 九百二十八,1
283,五百九十四; 百十八,0
284,五百十; 百十五,0
285,十; 四十九,1
286,七百八十七; 三百四十三,0
287,九百二十; 五百九十五,0
288,二百七十三; 二百九十六,1
289,五百九十七; 四百六十九,0
290,七百十一; 三百七,0
291,七百四十一; 五百七十九,0
292,六百二十九; 七,0
293,二百七十六; 二百二,0
294,三百三十一; 三百五十四,1
295,八百七十六; 四百四十八,0
296,九百八十七; 八百四十一,0
297,九百二十四; 二百五十五,0
298,六百七十五; 三百二十七,0
299,四百十三; 七百六十,1
300,七百七十七; 百九十七,0
301,三百五十; 六百五十四,1
302,四百十; 七百三十一,1
303,二十九; 九百六,1
304,七百四; 三百三,0
305,八百七十; 七十七,0
306,九百十六; 二百九十一,0
307,六百六十七; 三百,0
308,四十二; 四百二十三,1
309,七百八十七; 二百九十七,0
310,四百四十四; 六百二十六,1
311,九百二十二; 九百四十四,1
312,八百八十八; 七百七十四,0
313,二百九十七; 七十二,0
314,四百五十六; 五百八十二,1
315,三百十七; 七百二,1
316,八百三十八; 五百三十九,0
317,八百三十七; 三十七,0
318,二十一; 九百八十六,1
319,三百四十; 三百七十五,1
320,六十五; 四百十六,1
321,六百五十九; 四百五十八,0
322,九十六; 五百五十八,1
323,九十; 五十五,0
324,六百八十七; 八百六十,1
325,八百九; 七十五,0
326,七百五十三; 三百五十三,0
327,九百四十八; 百五十八,0
328,九百七十一; 三百,0
329,五百四十八; 二百九十,0
330,八百八十; 十九,0
331,十六; 四百八十,1
332,二百二; 八百九十三,1
333,四百八十四; 十二,0
334,七百六十九; 六十四,0
335,八百十三; 百八十,0
336,三百八十三; 百二十二,0
337,百三十八; 五十二,0
338,三百七十四; 六百八十,1
339,九百九十二; 二百八十,0
340,三百三十四; 四百二十五,1
341,二百八十七; 二百八十,0
342,九百二十; 三百九十四,0
343,百十七; 二百九十九,1
344,五百九; 四百六十四,0
345,九百四十七; 八百五十九,0
346,四百九十八; 八百五十九,1
347,百六十八; 百六十七,0
348,七百四十八; 二百八,0
349,四百三十六; 七十三,0
350,六十一; 七百五十五,1
351,三百二十; 十八,0
352,四百三十七; 八百三十二,1
353,六百六十; 九百五十九,1
354,六十六; 四百九十四,1
355,百八十八; 六百三十,1
356,六百六十九; 三百二十四,0
357,八百九十三; 四百三十八,0
358,六百十七; 三百七,0
359,四百六十一; 六百七十,1
360,四百六十九; 八百三,1
361,八百十四; 四,0
362,六百五十一; 六十,0
363,四百八十八; 八百三,1
364,四百三十一; 五百六十四,1
365,百五十九; 四百四十七,1
366,九百四十一; 六十三,0
367,五百二十七; 四百九十八,0
368,六百二十七; 八百,1
369,三百二十四; 百五十五,0
370,五百五十七; 六百九十七,1
371,二百四十九; 九百七十一,1
372,百二十一; 九百七,1
373,百二十四; 三百九,1
374,六百八十七; 四百十,0
375,百十四; 八十,0
376,三百九十; 五百十二,1
377,三十; 百四十六,1
378,百八十三; 七百八十九,1
379,百二十一; 七百八十九,1
380,九百七十八; 八百五十三,0
381,五百四十四; 七百四十五,1
382,七百二十六; 二百八十五,0
383,三百九十三; 八百七十四,1
384,百三; 二百五十二,1
385,四百三十七; 四百七十一,1
386,八百十; 九百四十八,1
387,四百六十七; 五百四十,1
388,三百九; 四十四,0
389,六百五十七; 三百三十四,0
390,七百五十五; 七百七十三,1
391,四百十四; 八百三十六,1
392,六百六十二; 七百六十五,1
393,三百八十二; 七百四十五,1
394,七百十八; 二百十二,0
395,二百三十五; 百二十二,0
396,二百七十六; 八百二十八,1
397,六十二; 六百五十六,1
398,四百二十八; 五百十六,1
399,二百十二; 六百四十三,1
400,八百十二; 百四十三,0
401,八百九十四; 四百九十七,0
402,四百六十五; 六十六,0
403,八十二; 七百六十,1
404,九百九十七; 八百四十七,0
405,六百十四; 九百二十一,1
406,八百二; 百三,0
407,二十六; 六百四十七,1
408,二百五十五; 四百九十八,1
409,五百十三; 百十九,0
410,四百四十一; 三百四十六,0
411,百九十五; 七百九十八,1
412,三百八十二; 二百十九,0
413,三百二十; 五百七十,1
414,八百三十七; 七百七十一,0
415,二百四十七; 四百七十七,1
416,五百六十八; 五百五十六,0
417,七百三十一; 四百八十五,0
418,九十一; 五百四十一,1
419,九百六十一; 百九十四,0
420,六百十六; 六百四十八,1
421,二百六十九; 二十五,0
422,二百二十二; 二百五十八,1
423,七百五十二; 三百六十八,0
424,八百二十一; 八百一,0
425,五百九十九; 二百二十六,0
426,九百三十一; 二百八,0
427,三十三; 七百三十六,1
428,七百七十九; 七百十四,0
429,七百六十二; 四十三,0
430,九百九十七; 百七十三,0
431,四百十; 二百四十八,0
432,四百二十二; 四百三十一,1
433,二百八; 七百五十六,1
434,二十六; 三百三十九,1
435,百八十七; 百八十四,0
436,六百; 五百九,0
437,九十三; 二百四,1
438,四百九十三; 百七十八,0
439,三百二十一; 三百二十,0
440,八; 四百五十三,1
441,五百五十六; 六百八十二,1
442,八百八十九; 五百五十,0
443,三百二十; 四百五十四,1
444,七百七十五; 二百五十九,0
445,七十四; 三百七十九,1
446,四百十; 二百二十八,0
447,百四; 二百三十九,1
448,七百九十; 七百十一,0
449,六百四十六; 三百二十,0
450,七百; 七百五十,1
451,二百四; 七百八十五,1
452,二百六十八; 九百四十四,1
453,六百三十八; 百一,0
454,八百十九; 六百七十五,0
455,七百五; 七百八十二,1
456,九十八; 三百一,1
457,二百三十九; 八百二十,1
458,七百六十二; 九百八十九,1
459,三百七十一; 八百九十八,1
460,十二; 百,1
461,六百四十七; 二百二十,0
462,八百三十九; 三十七,0
463,四百四十一; 八百二十三,1
464,百十八; 二百五十一,1
465,七百四十八; 六百二十二,0
466,二百七十八; 二百九,0
467,四百十八; 三百五十,0
468,三百八十二; 二百九十六,0
469,二百九十六; 百十五,0
470,五百三十八; 百九十七,0
471,百六十二; 八百五十一,1
472,二百十七; 百十一,0
473,八百七十二; 九百九十七,1
474,百五十五; 二百二,1
475,八百六十五; 五百五,0
476,三百九十七; 六百九十四,1
477,三百八十五; 二百九,0
478,九百四十二; 五百七十八,0
479,三百九十八; 百三十九,0
480,二百五十八; 六百五十六,1
481,三百四十五; 六百三十九,1
482,三百六十六; 九百十二,1
483,六百十三; 七百七十一,1
484,三百二十七; 八百四十五,1
