,nums,labels
0,六百四十一,0
1,八百八十九,0
2,三百二十,0
3,八百七十二,0
4,九百,0
5,三十五,0
6,九百四十六,0
7,六百八十九,0
8,二百八十一,0
9,九百四十一,0
10,六百五十一,0
11,二百五十六,0
12,三百六十三,0
13,九百十九,0
14,三百五十,0
15,七百七十八,0
16,三百五十二,0
17,四百二,0
18,九百九十一,0
19,六百九十一,0
20,五十七,0
21,百二十七,0
22,六百九十四,0
23,四百二十五,0
24,百二十九,0
25,三百二十四,0
26,九百七十二,0
27,二百十,0
28,六百三十七,0
29,五百六十七,0
30,三百三十三,0
31,七百四,0
32,百七,0
33,九百七十二,0
34,六十四,0
35,九百六,0
36,三百八十八,0
37,三百五,0
38,七十五,0
39,三百八十四,0
40,九百十四,0
41,五百四十六,0
42,六百八十五,0
43,五百三十七,0
44,三百六十四,0
45,八百三十九,0
46,四百四十一,0
47,六百五十四,0
48,九百二十,0
49,四百九十二,0
50,二百二十,0
51,七百六十三,0
52,九百二十一,0
53,三百五十五,0
54,八百三十三,0
55,四百九十八,0
56,五百三十八,0
57,三百十四,0
58,二百七十五,0
59,七百十二,0
60,百九十,0
61,十三,0
62,二百三十四,0
63,十,0
64,五十九,0
65,六百七十六,0
66,九百五十一,0
67,八百二十五,0
68,三百九十九,0
69,三十三,0
70,九百八,0
71,百二十七,0
72,四百四十六,0
73,八百三十三,0
74,二百十七,0
75,六百四十九,0
76,九百六,0
77,九百四十七,0
78,八百六,0
79,五百九十,0
80,七百三十五,0
81,六百六,0
82,七百五十四,0
83,三百三十五,0
84,七百四十七,0
85,三百五十四,0
86,九百九十五,0
87,七百八十八,0
88,七百三十九,0
89,八百五十四,0
90,三百四十六,0
91,七百六十五,0
92,二百十三,0
93,七百七十七,0
94,二百三十三,0
95,二百三,0
96,七百六十八,0
97,二百五十三,0
98,九百六十一,0
99,七百三十六,0
100,七十九,0
101,四百五十四,0
102,四百八十三,0
103,百五十四,0
104,五百九十九,0
105,九百八十五,0
106,百八十四,0
107,百十四,0
108,五百六十九,0
109,三百六十八,0
110,百三十七,0
111,四十八,0
112,百三,0
113,五百九十二,0
114,九百六十五,0
115,二百九十七,0
116,七百四十四,0
117,三十六,0
118,八百八十,0
119,五十三,0
120,十九,0
121,九百四十四,0
122,四十九,0
123,八百二十六,0
124,百九十六,0
125,百七十八,0
126,四百八十六,0
127,四百三十五,0
128,八百九十四,0
129,百六十九,0
130,八,0
131,七百二十六,0
132,四十八,0
133,六百六十七,0
134,百七十四,0
135,六百四十二,0
136,八百五十三,0
137,七百三十六,0
138,四百九十三,0
139,三十九,0
140,五百五,0
141,八百六十四,0
142,九十九,0
143,九百五十三,0
144,八十一,0
145,六百七,0
146,六百十七,0
147,四百十二,0
148,七百三十一,0
149,六百二十三,0
150,三百九十八,0
151,八百六十二,0
152,六百七十六,0
153,五百十六,0
154,六百九十八,0
155,八百二十五,0
156,五百七,0
157,二百二十一,0
158,五百五十五,0
159,百十六,0
160,四百九十四,0
161,二百六十八,0
162,八百三十七,0
163,三百九十三,0
164,五百九十八,0
165,百六十五,0
166,九百七十一,0
167,八百六,0
168,四百五十三,0
169,三百九十五,0
170,四百八十,0
171,六百八十,0
172,五十,0
173,八百五,0
174,四百三十四,0
175,八百五十六,0
176,八百七十三,0
177,九百四十九,0
178,四百十八,0
179,百八十二,0
180,四百九十一,0
181,八百四,0
182,百二十五,0
183,五百五十一,0
184,七百七十三,0
185,七百七十四,0
186,八百三十三,0
187,三百三,0
188,八百五十,0
189,三百,0
190,二百四十,0
191,三百四十,0
192,九百四十六,0
193,三百四十五,0
194,百二十七,0
195,九百三十九,0
196,九十八,0
197,百七十四,0
198,五百八十六,0
199,三百五十六,0
200,五百十八,0
201,五百三十三,0
202,四百五十一,0
203,八百四十九,0
204,五百二十八,0
205,四百三十七,0
206,百八十三,0
207,九百二十一,0
208,三百,0
209,二百四十三,0
210,八十二,0
211,五百十八,0
212,二百七十六,0
213,九百九十三,0
214,四百十七,0
215,六百二十,0
216,四十二,0
217,五百七十二,0
218,五百八十五,0
219,二百六十七,0
220,八百九,0
221,五百六十四,0
222,四百八十七,0
223,八百三十九,0
224,三,0
225,四百十三,0
226,九百八十七,0
227,五百九十一,0
228,五百八十三,0
229,百五十四,0
230,百六十三,0
231,五百六十三,0
232,五百十四,0
233,五百四十九,0
234,三百四十七,0
235,四百六十三,0
236,八百六十二,0
237,五百六十三,0
238,二百六,0
239,八百七十,0
240,九百九十三,0
241,百七十五,0
242,五百七十六,0
243,八百九十,0
244,四十,0
245,百四十八,0
246,八百八十二,0
247,六百十二,0
248,二百五,0
249,八百十二,0
250,九百十一,0
251,四百八十七,0
252,六十,0
253,百四十九,0
254,三百八十,0
255,三百六十一,0
256,五百六十三,0
257,二百三十五,0
258,四百十,0
259,七百三十,0
260,二十六,0
261,二百九十,0
262,七百五十二,0
263,二百十三,0
264,七百三十九,0
265,百四十七,0
266,九百二十七,0
267,二百八十四,0
268,百六十一,0
269,八百九十七,0
270,九十三,0
271,八百八十三,0
272,八十三,0
273,八百六十一,0
274,百八十五,0
275,九百五十,0
276,二百四十三,0
277,四百九十二,0
278,三百四十四,0
279,五百八十三,0
280,六百二十二,0
281,五百六十二,0
282,三百二十二,0
283,五百六十五,0
284,三百七十八,0
285,七十八,0
286,八百五十,0
287,五百五十一,0
288,二百九十一,0
289,九百二十六,0
290,四百三十一,0
291,九百一,0
292,八百九,0
293,二百九十七,0
294,四百十四,0
295,五百六,0
296,二百二十五,0
297,八百七十,0
298,三百八十一,0
299,六百二十五,0
300,十八,0
301,四百八十一,0
302,四百八十七,0
303,九十四,0
304,五百三十六,0
305,三百六十二,0
306,六百十三,0
307,四百七十二,0
308,八百七十九,0
309,五百八十八,0
310,二百六十,0
311,七百十七,0
312,二百九十七,0
313,百十八,0
314,四百五十五,0
315,五百十三,0
316,五百八十八,0
317,九百四十四,0
318,七百十二,0
319,二百七十四,0
320,百六十六,0
321,九百十六,0
322,六百二十三,0
323,九十九,0
324,四百二十六,0
325,二百三十六,0
326,七百六十七,0
327,七百四十三,0
328,百三,0
329,百二十一,0
330,五百九十,0
331,八百二十四,0
332,七百七十二,0
333,八百四十三,0
334,四十二,0
335,三百三十七,0
336,七十一,0
337,百四十七,0
338,七百五十九,0
339,四百七十四,0
340,九百五十五,0
341,八十五,0
342,二百四十七,0
343,四百八十一,0
344,五百二,0
345,百四十四,0
346,三百九十五,0
347,二百三十六,0
348,三百四十二,0
349,七十四,0
350,五百六十七,0
351,五百三十七,0
352,九百五十五,0
353,六百九十一,0
354,四百二十六,0
355,六百十六,0
356,三百五十三,0
357,六百四十四,0
358,九百,0
359,八百三十五,0
360,三十五,0
361,二百四十四,0
362,五百五十二,0
363,五百十七,0
364,六十六,0
365,七百十八,0
366,五百五十三,0
367,百二十五,0
368,百六十五,0
369,四百四十五,0
370,四百九十九,0
371,六百九十五,0
372,七百五十四,0
373,八百二十八,0
374,五百六十九,0
375,五百三十九,0
376,百五十八,0
377,百七十七,0
378,五十四,0
379,五百二十,0
380,九百七十四,0
381,四百五十九,0
382,九百五十八,0
383,二百五,0
384,六百五十六,0
385,七百九十四,0
386,百二十七,0
387,四百二十五,0
388,三百三十五,0
389,九百二十五,0
390,九百九,0
391,九百七十六,0
392,九百九十二,0
393,百二十八,0
394,二百七十二,0
395,三百九十七,0
396,六百七十五,0
397,八十三,0
398,八百七十一,0
399,百五十一,0
400,三百二十,0
401,三十八,0
402,二十九,0
403,五百八十一,0
404,二百七十九,0
405,三十,0
406,六百七十二,0
407,八百四十六,0
408,二百五十七,0
409,八百八十六,0
410,六百五十九,0
411,二百三十八,0
412,百三十五,0
413,六百三十八,0
414,百六十七,0
415,六百四十五,0
416,四百六十七,0
417,五百四十八,0
418,六百四十九,0
419,百九,0
420,三百二十,0
421,三百十一,0
422,八百三十,0
423,六百五十六,0
424,三百四十七,0
425,三百二十三,0
426,八百五十三,0
427,二百二十六,0
428,三百十五,0
429,九百九十一,0
430,百四,0
431,九百二十,0
432,六百七十六,0
433,二百三十四,0
434,八十一,0
435,六百二十三,0
436,六百二十三,0
437,八百五,0
438,九百五十八,0
439,六百十七,0
440,百五十,0
441,百八,0
442,六十一,0
443,五百六十,0
444,九百七,0
445,八百四十六,0
446,四百二十九,0
447,三百六十六,0
448,七百八,0
449,八百十三,0
450,百六十一,0
451,六百五十五,0
452,六百十四,0
453,七百五十四,0
454,四十九,0
455,六十八,0
456,六百,0
457,五百四十九,0
458,四百一,0
459,二百二十七,0
460,九百十五,0
461,六百九十七,0
462,九百二十五,0
463,八百二十七,0
464,五百九十九,0
465,五百二十八,0
466,五百二十二,0
467,七百七十三,0
468,六百二十七,0
469,三十八,0
470,八百六十九,0
471,六百二十三,0
472,八百五十五,0
473,三百五十四,0
474,四百一,0
475,五百五十二,0
476,七百二十八,0
477,九百十四,0
478,三十七,0
479,三百五,0
480,四百七十四,0
481,四十四,0
482,百二十,0
483,五百九十六,0
484,五百六十九,0
485,六十七,0
486,六百十七,0
487,七百五十六,0
488,四百六十七,0
489,三百三十八,0
490,二百四十四,0
491,七百八十四,0
492,七百三十七,0
493,九百九十一,0
494,四十八,0
495,四百三十五,0
496,八百六十五,0
497,七百五,0
498,三百三十九,0
499,六百三十五,0
500,五百四十七,0
501,六百三十五,0
502,九百三十七,0
503,八百四十三,0
504,八百六十五,0
505,八百八十九,0
506,九百八十三,0
507,六百八十,0
508,二百八十三,0
509,七百三十八,0
510,八百十四,0
511,二百十二,0
512,七百五十二,0
513,六百九十一,0
514,六百五十五,0
515,四十一,0
516,九百二十六,0
517,三百四十四,0
518,三百八十一,0
519,百四十二,0
520,八百三,0
521,四百八十七,0
522,七百九十一,0
523,三百三十八,0
524,七百十六,0
525,六百七十七,0
526,三十八,0
527,五百八十三,0
528,六百七,0
529,百二十九,0
