,sents,labels
0,syvhundrede og fire; trehundrede og fem,0
1,ottehundrede og otteoghalvfjerds; firehundrede og seksogtyve,0
2,femhundrede og syvoghalvtreds; nihundrede og niogtyve,1
3,nihundrede og seksoghalvfems; sekshundrede og toogtredive,0
4,firehundrede og treogtredive; toogfyrre,0
5,ottehundrede og atten; tohundrede og niogfyrre,0
6,tohundrede og otteoghalvfjerds; trehundrede og tretten,1
7,tohundrede og tooghalvfjerds; nihundrede og treoghalvfjerds,1
8,ottehundrede og ti; ethundrede og niogtyve,0
9,syv; femhundrede og toogfirs,1
10,syvhundrede; ethundrede og femogfirs,0
11,nihundrede og to; ottehundrede og niogtreds,0
12,trehundrede og syvoghalvfjerds; ottehundrede og toogfirs,1
13,nihundrede og firs; nihundrede og ni,0
14,syvhundrede og otte; ethundrede og fireoghalvtreds,0
15,tohundrede og syv; tohundrede og treogfyrre,1
16,femhundrede og otte; ethundrede og toogfirs,0
17,syvhundrede og fireoghalvtreds; nihundrede og seksoghalvtreds,1
18,toogfyrre; seksogfyrre,1
19,tohundrede og nitten; syvhundrede og femogtredive,1
20,ottehundrede; ethundrede og treoghalvfems,0
21,otteoghalvtreds; ethundrede og syvogtyve,1
22,firehundrede og syvogtyve; firehundrede og treds,1
23,syv; sekshundrede og niogtyve,1
24,sekshundrede og otteoghalvtreds; firehundrede og toogtyve,0
25,fjorten; femhundrede og fire,1
26,ethundrede og enogtreds; ottehundrede og fireoghalvtreds,1
27,ethundrede og syvoghalvfems; firehundrede og otteoghalvfjerds,1
28,tohundrede og otteogfyrre; nihundrede og syvogtreds,1
29,trehundrede og syvoghalvfjerds; femhundrede og otteoghalvfjerds,1
30,syvhundrede og syvogtreds; femhundrede og enoghalvfems,0
31,ottehundrede og toogtreds; trehundrede og halvtreds,0
32,ethundrede og femoghalvfems; nioghalvtreds,0
33,femhundrede og femten; syvhundrede og treogfirs,1
34,trehundrede og treogfyrre; trehundrede og tooghalvtreds,1
35,femhundrede og femogtyve; seksoghalvfjerds,0
36,femhundrede og seks; syvhundrede og nioghalvfjerds,1
37,nihundrede og seksogtredive; ottehundrede og seksogtreds,0
38,trehundrede og tolv; ottehundrede og femogfyrre,1
39,syvhundrede og treogfirs; firehundrede og fire,0
40,sekshundrede og syvogtyve; firehundrede og fire,0
41,firehundrede og otteogfirs; syvhundrede og nioghalvfjerds,1
42,tohundrede og tretten; firehundrede og seksogtreds,1
43,ethundrede og fireoghalvfems; nioghalvfjerds,0
44,femhundrede og halvfjerds; femoghalvfjerds,0
45,firehundrede og femoghalvfjerds; firehundrede og femogtyve,0
