,sents,labels
0,ottehundrede og syvogfyrre,0
1,ethundrede og tyve fem,1
2,syvhundrede og tolv,0
3,trehundrede og enoghalvfems,0
4,firehundrede og otte sytten,1
5,sekshundrede og fireogfirs,0
6,halvfems ethundrede og fem,1
7,seksoghalvfems sytten,1
8,toogtyve,0
9,syvhundrede og fem halvfems,1
10,nihundrede og otteoghalvfjerds,0
11,seksogfyrre seksogfyrre,1
12,tohundrede og halvtreds,0
13,treogfyrre ni,1
14,syvogtyve tooghalvfjerds,1
15,tretten ethundrede og tyve,1
16,nihundrede og niogtyve firs,1
17,ethundrede og femogtredive,0
18,elleve trehundrede og ni,1
19,tohundrede og otteoghalvfems,0
20,fire nihundrede og enogtyve,1
21,nihundrede og seksoghalvfems,0
22,ethundrede og firs fjorten,1
23,ottehundrede og tretten ni,1
24,sekshundrede og tredive,0
25,niogfyrre,0
26,ethundrede og fire tredive,1
27,ottehundrede og syvoghalvfems,0
28,femhundrede og tretten tre,1
29,tohundrede og treogtreds tre,1
30,femhundrede og sytten,0
31,seksogtyve femogfirs,1
32,elleve ethundrede og seks,1
33,sekshundrede og niogfirs,0
34,sekshundrede og treogfyrre,0
35,femhundrede og syvoghalvfems,0
36,sekshundrede og to,0
37,ottehundrede og toogfyrre,0
38,otteogfirs ethundrede,1
39,firehundrede og seksten,0
40,sekshundrede og syv fire,1
41,firehundrede og seksogtredive,0
42,femhundrede og femten et,1
43,femhundrede og halvfjerds,0
44,firehundrede og femogfirs,0
45,ethundrede og tre,0
46,femoghalvfems elleve,1
47,femhundrede og et nitten,1
48,femhundrede og seksten,0
49,trehundrede og nioghalvfjerds,0
50,fjorten ottehundrede og tyve,1
51,fem ottehundrede og tyve,1
52,syvhundrede og enogtyve,0
53,femhundrede og femogtreds,0
54,firehundrede og nioghalvtreds,0
55,trehundrede og nioghalvfems,0
56,femhundrede og syv firs,1
57,syvhundrede og enogtyve fire,1
58,syvoghalvfems enogfirs,1
59,nihundrede og fem,0
60,otteogtreds,0
61,tolv fireoghalvfjerds,1
62,syvhundrede og tredive treds,1
63,nihundrede og otteoghalvfems,0
64,ottehundrede og halvfjerds,0
65,to syvhundrede og sytten,1
66,femhundrede og et,0
67,fem firehundrede og halvfems,1
68,fem,0
69,ethundrede og fem ni,1
70,femhundrede og otteoghalvfjerds,0
71,syvhundrede og syvoghalvtreds,0
72,tretten femoghalvfjerds,1
73,firehundrede toogfyrre,1
74,tohundrede og tre treogfirs,1
75,syvhundrede og treogfirs,0
76,ethundrede og treogfirs otte,1
77,sekshundrede og tolv tyve,1
78,ottehundrede og firs nitten,1
79,firehundrede og tretten,0
80,fjorten femhundrede og fire,1
81,sekshundrede og fire tyve,1
82,ti trehundrede og syvogtreds,1
83,syvogtreds,0
84,tretten niogtreds,1
85,nihundrede og enogfirs,0
86,ethundrede og syv,0
87,trehundrede og tre,0
88,trehundrede og otte otte,1
89,seksogtredive fireogtreds,1
90,ethundrede og treoghalvfems,0
91,sekshundrede og fem tredive,1
92,ottehundrede og syvoghalvfjerds,0
93,tre nihundrede og fjorten,1
94,ethundrede og seksoghalvfems,0
95,trehundrede og treogfyrre et,1
96,tohundrede seksoghalvfems,1
97,trehundrede og toogfyrre,0
98,ethundrede og syvogfyrre,0
99,treds nitten,1
100,femhundrede og fireogtyve et,1
101,tretten ethundrede og ti,1
102,fyrre,0
103,syvhundrede nihundrede,1
104,femhundrede og fireoghalvfems,0
105,fireogtyve,0
106,nihundrede og sytten firs,1
107,tohundrede og enoghalvfjerds,0
108,tohundrede og ti atten,1
109,syvhundrede og seksoghalvfjerds,0
110,elleve firehundrede og tolv,1
111,halvfems ottehundrede og to,1
112,treoghalvfems fem,1
113,sekshundrede og tolv,0
114,sekshundrede og enogtyve,0
115,halvfjerds nihundrede,1
116,tohundrede og syvoghalvfjerds,0
117,syvhundrede og to to,1
118,firehundrede og syvoghalvfems,0
119,femhundrede og otteoghalvfjerds,0
120,syvhundrede og femogfyrre,0
121,femhundrede og niogtreds syv,1
122,tre firehundrede og tyve,1
123,niogtyve ethundrede og ti,1
124,syvhundrede og syvogfirs,0
125,firehundrede og tooghalvfjerds,0
126,nihundrede og enoghalvtreds,0
127,femhundrede og syvoghalvtreds,0
128,syvhundrede og fjorten,0
129,tohundrede og nioghalvtreds,0
130,femoghalvfems enoghalvfems,1
131,syvhundrede og nitten firs,1
132,ottehundrede og treogtredive,0
133,nihundrede og et,0
134,firehundrede og ni enogtyve,1
135,ettusind halvtreds,1
136,enogtreds otteogtreds,1
137,firehundrede og enogfyrre,0
138,atten femhundrede og fyrre,1
139,syv sekshundrede og tyve,1
140,syvhundrede og enogtyve,0
141,tohundrede og toogtreds,0
142,femhundrede og fem femogfirs,1
143,syvhundrede og nioghalvfems,0
144,trehundrede og enogfirs,0
145,firehundrede og ni,0
146,sekshundrede og otte seks,1
147,nihundrede og ti,0
148,otteoghalvfjerds seksogtyve,1
149,otte otteogtreds,1
150,otteoghalvtreds tretten,1
151,syvogtyve nihundrede og firs,1
152,tolv syvhundrede og femten,1
153,syvhundrede og otteoghalvfjerds,0
154,tohundrede og syvoghalvfems,0
155,fem niogfirs,1
156,syvogtreds tre,1
157,femhundrede og atten ni,1
158,trehundrede og seksogfirs,0
159,ethundrede og enoghalvfjerds,0
160,syvoghalvfjerds syvogtreds,1
161,fire ethundrede og syvogfirs,1
162,elleve femhundrede,1
163,tohundrede og toogtyve,0
164,sekshundrede og treogfyrre,0
165,femten treogfyrre,1
166,firehundrede og fireogtreds,0
167,nitten femhundrede og fem,1
168,femhundrede og firs treds,1
169,ethundrede og nioghalvtreds,0
170,ethundrede og treogfirs,0
171,syvhundrede og treds,0
172,firehundrede og treogtreds,0
173,otteogtreds,0
174,halvfems ti,1
175,trehundrede og niogtredive,0
176,tyve ottehundrede og fyrre,1
177,ottehundrede og otteogfirs,0
178,fjorten nihundrede og tolv,1
179,ti seksten,1
180,syvhundrede og niogtyve otte,1
181,nihundrede og tolv fjorten,1
182,treds tohundrede og tyve,1
183,trehundrede og enogtredive,0
184,sekshundrede og enoghalvfjerds,0
185,ethundrede og nitten,0
186,otteogfirs nihundrede og et,1
187,tohundrede og fire toogfirs,1
188,ethundrede og femogtreds ti,1
189,enogtreds tredive,1
190,ethundrede og niogtredive,0
191,syvogfirs halvfjerds,1
192,femhundrede og tre tolv,1
193,halvfjerds seksoghalvfjerds,1
194,fire tohundrede og treogfirs,1
195,nihundrede og nitten tyve,1
196,firs nihundrede og enogtyve,1
197,ethundrede og niogfirs atten,1
198,trehundrede og seksogfyrre,0
199,femhundrede nioghalvtreds,1
200,tohundrede og fireogtyve,0
201,ottehundrede og enogtreds,0
202,fem femhundrede og to,1
203,niogtredive niogtredive,1
204,to nihundrede og seksogfyrre,1
205,nihundrede og niogtredive,0
206,femhundrede og syvogtyve,0
207,syvhundrede og tooghalvfems,0
208,ni sytten,1
209,tyve syvogtreds,1
210,tre firehundrede og et,1
211,fjorten tohundrede og sytten,1
212,niogfyrre tohundrede og fem,1
213,femhundrede og sytten,0
214,ethundrede og fireoghalvfjerds,0
215,ethundrede og tolv toogtreds,1
216,fem,0
217,femoghalvfems,0
218,tolv femhundrede og et,1
219,ethundrede niogtyve,1
220,toogtreds ethundrede og tolv,1
221,trehundrede og tretten tyve,1
222,otte seksogtyve,1
223,trehundrede og seksogtredive,0
224,femogtreds syvhundrede og to,1
225,trehundrede og tyve firs,1
226,otte syvhundrede og halvfems,1
227,ottehundrede enoghalvtreds,1
228,femhundrede og niogtreds,0
229,trehundrede og tredive,0
230,fireogfirs tohundrede,1
231,seksogtreds niogfyrre,1
232,ethundrede og syvogtyve,0
233,tyve,0
234,ethundrede og syv syvogtreds,1
235,seks femhundrede og seksten,1
236,seks nihundrede og enogtyve,1
237,firehundrede og ti to,1
238,fireogtreds treogtyve,1
239,ottehundrede og tretten,0
240,fem ethundrede og nitten,1
241,trehundrede og toogtredive,0
242,treogfirs nihundrede,1
243,sytten ethundrede og seksten,1
244,nihundrede og otte niogfirs,1
245,sekshundrede og syvogfirs,0
246,trehundrede og seksogtredive,0
247,firehundrede og treogfirs,0
248,femhundrede og to halvfems,1
249,femhundrede og halvfjerds,0
250,tredive tre,1
251,trehundrede og nioghalvfjerds,0
252,syvhundrede og tyve,0
253,firehundrede og to,0
254,firs nihundrede og et,1
255,tohundrede og tyve tredive,1
256,fjorten otteogtreds,1
