,sents,labels
0,one hundred and eighty one; one hundred and thirty eight,0
1,six hundred and ninety eight; eight hundred and six,1
2,two hundred and fifty five; five hundred and seventy four,1
3,five hundred and sixty four; five hundred and eighty three,1
4,three hundred and thirty one; one hundred and thirty three,0
5,three hundred and thirty five; four hundred and eighty five,1
6,six hundred; three hundred and eighty,0
7,two hundred and thirty five; three hundred and sixty one,1
8,two hundred and sixteen; nine hundred and ninety nine,1
9,six hundred and twenty eight; five hundred and sixty three,0
10,four hundred and eighty two; nine hundred and fifty seven,1
11,one hundred and thirty three; five hundred and eighty,1
12,two hundred and eighty five; three hundred and twenty one,1
13,two hundred and twenty five; one hundred and sixty four,0
14,seven hundred and three; six hundred and eighty four,0
15,four hundred and eighty one; eight hundred and twenty eight,1
16,seventeen; eight hundred and fifty,1
17,six hundred and six; two hundred and seventy six,0
18,five hundred and thirty nine; one hundred and fifty four,0
19,two hundred and twenty four; seven hundred and fifty four,1
20,seven hundred and twenty three; two hundred and eighty,0
21,one hundred and eighty six; nine hundred and forty seven,1
22,seven hundred and three; one hundred and six,0
23,seven hundred and forty two; seven hundred and forty three,1
24,nine hundred; six hundred and ninety four,0
25,eight hundred and ninety nine; ninety eight,0
26,five hundred and sixty; five hundred and forty four,0
27,seven hundred and seventy seven; one hundred and sixty six,0
28,one hundred and thirty three; ten,0
29,five hundred and sixty two; seven hundred and thirty eight,1
30,two hundred and seventy; three hundred and fifty four,1
31,two hundred and eighty nine; three hundred and eighteen,1
32,six hundred and thirty four; eight hundred and twenty five,1
33,nine hundred and forty; six hundred and thirty nine,0
34,five hundred and twenty two; five hundred and ninety nine,1
35,six hundred and twenty eight; six hundred and twenty four,0
36,six hundred and twenty nine; five hundred and ninety eight,0
37,two hundred and ninety two; twenty seven,0
38,nine hundred and seventy nine; four hundred and ten,0
39,six hundred and sixty nine; seven hundred and fifty,1
40,four hundred and seventy two; two hundred and fifty nine,0
41,three hundred and eighty seven; seven hundred and eleven,1
42,one hundred and eighty; six hundred and thirty eight,1
43,nine hundred and seventy one; four hundred and seventeen,0
44,six hundred and ninety two; nine hundred and six,1
45,six hundred and fifty six; one hundred and sixty seven,0
46,six hundred and eighty eight; one hundred and thirty eight,0
47,sixteen; two hundred and seventy six,1
48,one hundred and eighty six; eight hundred and twenty eight,1
49,three hundred and thirty nine; sixty two,0
50,four hundred and twenty; one hundred and fifty seven,0
51,two hundred and thirty two; two hundred and fifty,1
52,six hundred and forty two; five hundred,0
53,six hundred and twenty two; seven hundred and nine,1
54,five hundred and ninety eight; thirty seven,0
55,nine hundred and forty nine; seven hundred and thirty,0
56,five hundred and eighty four; one hundred and six,0
57,seven hundred and fifty four; six hundred and fifteen,0
58,one hundred and seventy three; nine hundred and ninety one,1
59,eight hundred and eighty seven; seventy two,0
60,one hundred and ninety one; two hundred and seventeen,1
61,nine hundred and twenty seven; four hundred and ninety four,0
62,one hundred and twenty one; five hundred and fifty eight,1
63,nine hundred and eighty; four hundred and ninety seven,0
64,four hundred and twenty one; six hundred and sixty nine,1
65,eight hundred and fifteen; eight hundred and ninety three,1
66,eight hundred and twenty three; five hundred and ninety five,0
67,forty two; six hundred and seventy six,1
68,six hundred and sixty nine; one hundred and fifty two,0
69,eight hundred and eighty; eight hundred and seventeen,0
70,four hundred and ninety; six hundred and seventy two,1
71,five hundred and thirty three; two hundred and thirty nine,0
72,four hundred and fourteen; eight hundred and three,1
73,six hundred and forty two; two hundred and ninety nine,0
74,eight hundred and forty five; nine hundred and nine,1
75,six hundred and sixty seven; five hundred and sixty six,0
76,nine hundred and seventy nine; six hundred and forty eight,0
77,nine hundred and eighty eight; eight hundred and fifty four,0
78,six hundred and twenty; four hundred and ninety seven,0
79,one hundred and seventy six; three hundred and thirty two,1
80,eight hundred and four; one hundred and seven,0
81,three hundred and seventy nine; eight hundred and thirty four,1
82,four hundred and ninety; four hundred and twelve,0
83,five hundred and twenty two; eight hundred and ninety three,1
84,seven hundred and forty nine; one hundred and thirty,0
85,one hundred and sixty six; eight hundred and thirty two,1
86,nine hundred and seventeen; one hundred and fifty eight,0
87,four hundred and seventy; seven hundred and thirty nine,1
88,eight hundred and twenty three; eight hundred and ninety,1
89,three hundred and sixty one; nine hundred and thirteen,1
90,four hundred and sixty one; one hundred and seventy nine,0
