,sents,labels
0,sixty two,0
1,five hundred and forty five,0
2,six hundred and ninety two,0
3,nine hundred and eight six,1
4,forty eight nine,1
5,ninety three fifty two,1
6,eight hundred and fifty three,0
7,sixty eight seventy six,1
8,six hundred and ninety five,0
9,nine hundred and sixty nine,0
10,seven hundred and forty four,0
11,nine hundred and seventy six,0
12,nineteen one hundred and fifty,1
13,five hundred and seventeen,0
14,ninety seven hundred and four,1
15,seven hundred and eleven,0
16,thirty six seven hundred,1
17,four hundred and forty five,1
18,six hundred and two nineteen,1
19,four hundred and twenty nine,0
20,nine hundred and ten forty six,1
21,seven hundred and seventy seven,0
22,eight,0
23,one hundred and seventeen four,1
24,four one hundred and fifty,1
25,forty one twenty six,1
26,three hundred and ninety seven,0
27,three hundred and eighty six,0
28,six hundred and eighty four,0
29,five hundred and ninety four,0
30,four hundred and thirty,0
31,four hundred and fifty nine,0
32,nine,0
33,seven hundred and sixty six,0
34,fifty nine,0
35,nine hundred and one,0
36,two hundred and seventeen,0
37,eight one hundred and seventy,1
38,three hundred and fifty six,1
39,two hundred and sixty seven,0
40,seventeen twenty three,1
41,one hundred and one,0
42,eighty one six,1
43,nine hundred and seventy two,0
44,sixteen three hundred and five,1
45,three hundred and forty,0
46,forty five seventy four,1
47,eight hundred and seventy three,0
48,four hundred and twenty eight,0
49,eight hundred and thirty one,0
50,three hundred and seventy two,0
51,eight hundred and thirty nine,0
52,two hundred and ninety three,0
53,two hundred and twenty three,0
54,seventy four,0
55,fifty seventy eight,1
56,eighty four thirty nine,1
57,one hundred and thirty five,0
58,sixty,0
59,seven hundred and ninety three,0
60,three hundred and seventy four,0
61,two hundred and ninety six,0
62,two hundred and sixty one,0
63,fourteen one hundred and two,1
64,five hundred and fifty seven,0
65,sixty nine forty nine,1
66,eleven five hundred and sixty,1
67,eight hundred and eighty one,0
68,six hundred and eighty nine,0
69,thirty four seven,1
70,five hundred and thirteen ten,1
71,eighty three eighty seven,1
72,five seven hundred and two,1
73,eight hundred and fifty three,0
74,three hundred and four,0
75,ninety one nine hundred,1
76,twenty three,0
77,nine hundred and sixty four,0
78,nine hundred and ninety eight,0
79,sixty one one hundred and ten,1
80,eight hundred and one fifteen,1
81,sixty nine hundred and eighty,1
82,eighty six twenty one,1
83,eight hundred and fifty two,0
84,seven hundred and thirty seven,0
85,twenty seven twenty five,1
86,three hundred and forty six,0
87,seven hundred and forty nine,0
88,five hundred and seventy eight,0
89,sixty four seventy one,1
90,six three hundred and two,1
91,seventy ten,1
92,nine eight hundred and fifty,1
93,three hundred and thirty seven,0
94,seven hundred and sixty three,0
95,three hundred and twenty sixty,1
96,five hundred and nine four,1
97,seven hundred and sixty one,0
98,forty one eighty seven,1
99,seven hundred and fifty,0
100,six hundred and six one,1
101,five hundred and two seven,1
102,nine hundred and forty nine,0
103,two hundred and seventy three,0
104,one hundred and thirty three,0
105,thirty three eighty eight,1
106,seven hundred and thirteen,0
107,sixty one sixteen,1
108,thirty eight,0
109,seven hundred and thirty five,0
110,twelve nine hundred and one,1
111,fifty one sixty eight,1
112,sixty three ninety nine,1
113,eighty one forty three,1
