,sents,labels
0,quatorze dix neuf,1
1,vingt neuf,0
2,huit cent quarante seize,1
3,cent neuf sept cent huit,1
4,cent quarante et un,0
5,vingt six cent onze,1
6,neuf cent quatre,0
7,cinq cent quarante et un,0
8,cent huit,0
9,six cent trente deux,1
10,neuf cent trente sept,0
11,cent vingt et un deux,1
12,vingt et un dix huit,1
13,deux cent soixante quatorze,0
14,vingt six trois cent dix,1
15,six cent quatre vingt treize,0
16,deux cent six,0
17,seize sept cent cinq,1
18,huit cent trente quatorze,1
19,quatre cent huit sept,1
20,treize deux cent six,1
21,six cent cinquante quatre,0
22,deux huit cent dix,1
23,onze quarante deux,1
24,cinq cents,0
25,deux cent vingt cinq huit,1
26,neuf quarante,1
27,huit cent huit cinq,1
28,cent quatre vingt quatorze,0
29,cinq cent trente six,0
30,vingt sept quarante,1
31,deux cents trois cent dix,1
32,cent dix cent sept,1
33,quatre cent quarante deux,0
34,neuf cent quarante un,1
35,onze sept cent trente six,1
36,neuf cent quatre vingt un,0
37,quatre cent vingt deux,0
38,quarante huit,0
39,cent vingt trois,0
40,cinq cent six quatre,1
41,dix quatre vingt treize,1
42,vingt six trente quatre,1
43,huit cent quarante,0
44,cent quarante neuf quinze,1
45,quatre cent un,0
46,seize deux cents,1
47,trois cent soixante quinze,0
48,cent vingt huit cent sept,1
49,vingt sept neuf cent onze,1
50,huit trente neuf,1
51,cent onze cinquante,1
52,cinq cinquante huit,1
53,six cent dix neuf deux,1
54,six cent soixante dix sept,0
55,six cent six cent seize,1
56,huit cent cinquante huit,0
57,sept cent huit vingt six,1
58,neuf cent quatre vingt dix sept,0
59,trois cents trente,1
60,cent deux quarante cinq,1
61,cent deux six cent six,1
62,six neuf cent trois,1
63,sept sept cent treize,1
64,sept,0
65,dix neuf six cent sept,1
66,sept cent quarante cinq,0
67,cinq cent vingt quatre,0
68,cent dix sept,0
69,cent quatorze cinq cents,1
70,deux cent trente trois,1
71,six cents quarante trois,1
72,trois cent trente six,0
73,quatre cent quatre vingt neuf,0
74,treize soixante huit,1
75,quinze quatre cent seize,1
76,deux cent un douze,1
77,vingt six quarante sept,1
78,cent vingt deux cent neuf,1
79,six cent douze,1
80,dix six cent quinze,1
81,six cent soixante quatre,1
82,huit cent deux cent seize,1
83,deux cent huit cent huit,1
84,sept deux cent vingt huit,1
85,six cent soixante huit,0
86,cent dix sept,1
87,cent quatre vingt treize,0
88,six soixante huit,1
89,trois cent neuf,0
90,trois cent onze dix,1
91,neuf cent dix trente sept,1
92,dix huit quarante neuf,1
93,cent soixante six,0
94,quatre cent soixante et un,0
95,cent neuf cinq,1
96,quatre cent quatorze,0
97,cent dix neuf,0
98,douze quatre cent treize,1
99,sept cent un vingt deux,1
100,soixante quatre cent onze,1
101,sept cent trois mille,1
102,cinq cent quatre vingt dix sept,0
103,huit cent quarante onze,1
104,soixante huit cent un,1
105,quatre cent quarante et un,0
106,cent vingt deux quatorze,1
107,huit cent soixante quatre,0
108,six cent deux vingt,1
109,dix cent cinquante sept,1
110,six cent quatre vingt neuf,0
111,neuf trois cent dix huit,1
112,vingt neuf cent treize,1
113,neuf cent neuf cent un,1
114,cinq cent vingt deux,0
115,cinq cents soixante douze,1
116,douze cent cinquante cinq,1
117,quatorze cinq cent trente,1
118,cent dix neuf,0
119,six cents six cent un,1
120,dix neuf cinq cent cinq,1
121,trente cent quarante cinq,1
122,soixante huit cent huit,1
123,vingt six cent dix neuf,1
124,cent quarante sept,0
125,trente six cinquante sept,1
126,trois cent cinq,0
127,six cent quatre vingt cinq,0
128,huit cent quatre vingts,0
129,sept cent cinquante sept,0
130,quatorze quatre cent cinq,1
131,trois cent quarante quatre,0
132,vingt huit trente cinq,1
133,huit cent vingt six cinq,1
134,cent soixante et un trois,1
135,huit cent dix sept,0
136,quatre cent quatre vingt quatorze,0
137,trois cent cinquante deux,0
138,deux cent vingt,0
139,neuf cent douze,0
140,neuf cent cinquante neuf,1
141,huit cent vingt huit,0
142,neuf cent sept sept,1
143,deux six cent seize,1
144,six cent un,0
145,six cent dix neuf,0
146,cent vingt cent quatorze,1
147,trois cent un cinq,1
148,cent trois cinq cent un,1
149,vingt six deux,1
150,onze quatre vingts,1
151,soixante quinze cent dix,1
152,cent six six cent un,1
153,six cent seize soixante,1
154,sept cent trente et un,0
155,trois cent dix sept dix,1
156,cent huit,1
157,quatre cent quatre vingt huit,0
158,trois cent trente cinq,1
159,six cent six vingt quatre,1
160,cinquante six cent sept,1
161,trois cent trente,0
162,trois cent neuf cent dix,1
163,cent trente neuf soixante,1
164,douze cent dix sept,1
165,cinq cent soixante quatorze,0
166,deux cent quarante quatre,0
167,trois cent quatre vingt treize,0
168,sept cent cinquante cinq,0
169,quatre cent soixante et onze,0
170,quarante deux trente huit,1
171,six cent trente quatre,0
172,deux cent soixante dix neuf,0
173,huit cent quatre vingt trois,0
174,quatre cent cinquante trois,0
175,mille quatre vingt un,1
176,cinq cent quarante trois,0
177,trois cent quatre vingt deux,0
178,cent cinquante et un,0
179,cent quarante sept,0
180,quatre vingt dix quinze,1
181,six cent quarante huit,0
182,quatre vingt trois,0
183,cent un quatre cent dix,1
184,huit cent trois treize,1
185,sept cent treize,0
186,cinq cent huit cent douze,1
187,mille cent un,1
188,neuf cents vingt deux,1
189,cent deux mille,1
190,cent un deux cent six,1
191,huit cent onze,0
192,quatorze quarante,1
193,cinq six cent treize,1
194,quarante sept seize,1
195,quatre cent quarante trois,0
196,cinq cent soixante deux,0
197,six cents huit,1
198,huit cent quinze,0
199,trente neuf neuf cent six,1
200,cent dix neuf sept cents,1
201,trois quatorze,1
202,quatre cent vingt sept,0
203,soixante deux,0
204,six cent deux cent,1
205,deux deux cent quatre,1
206,soixante neuf cent onze,1
207,vingt deux,0
208,cent onze cent dix huit,1
209,trois cent quatre vingt sept,0
210,neuf cent un cinq,1
211,huit cent trente cinq dix,1
212,dix six cent soixante six,1
213,six cent soixante,0
214,quatre cent douze,0
215,cent quinze quarante cinq,1
216,huit cent vingt et un,0
217,huit cent trente six,0
218,neuf cent soixante dix,0
219,cent quatre vingt deux,0
220,sept cent trente sept un,1
221,deux cent dix trente cinq,1
222,huit cent soixante douze,0
223,cent un quarante neuf,1
224,cinq quatre cent cinq,1
225,soixante dix cent seize,1
226,cinq douze,1
227,quatre cent cinq dix,1
228,cent cinq neuf cent vingt,1
229,cinq cinquante huit,1
230,sept cent dix quatre,1
231,six cent treize,0
232,cent quatre vingt dix huit,0
233,deux cent quarante et un,0
234,neuf cent cinquante sept,0
235,soixante cinq cinq cents,1
236,cent dix neuf huit cents,1
237,mille trente trois,1
238,sept cinq cent trente,1
239,trois cent quatre vingt un,0
240,cent quinze,0
241,soixante neuf cent quinze,1
242,soixante dix sept,0
243,sept trois cent soixante,1
244,trois cent sept douze,1
245,soixante neuf trente deux,1
246,six cent trente quatre,0
247,cent neuf cent vingt huit,1
248,trente neuf,0
249,mille six cent soixante,1
250,trente six cent,1
251,cent soixante,0
252,cent vingt,0
253,quatre cent trois,0
254,quatorze neuf cent neuf,1
255,soixante huit cent quinze,1
256,cent vingt six cent dix,1
257,neuf cent un cent un,1
258,sept cent soixante et un,0
259,dix neuf neuf cent trente,1
260,cinq cent quatre vingt sept,0
261,quatre cent vingt et un,0
262,cent trois cent vingt,1
263,cent dix huit,0
264,cinquante et un,0
265,six cent soixante seize,0
266,quatre vingt huit douze,1
267,deux cent quatre vingt dix,0
268,six un,1
269,vingt huit cent dix sept,1
270,huit neuf cent cinq,1
271,vingt deux neuf cent dix,1
272,sept neuf cent dix sept,1
273,soixante dix neuf,1
274,sept cent cinq,0
275,quarante et un vingt,1
276,sept cent soixante dix,1
277,trois cent soixante deux,1
278,trois cent onze,0
279,mille trois cent quarante,1
280,trois cent quarante neuf,0
281,huit cent treize,0
282,neuf cent soixante deux,0
283,cent soixante deux,0
284,huit cent douze cinq,1
285,neuf cent quarante quatre,0
286,onze huit cent cinquante,1
287,cent quinze neuf cent un,1
288,six cent soixante cinq,0
289,six cent un cent dix,1
290,quatre cent vingt neuf,0
291,quarante sept huit cents,1
292,neuf cent cinquante deux,0
293,neuf cent quatre vingt treize,0
294,six cent quatorze treize,1
295,neuf quatre cent dix sept,1
296,sept cent trente cinq,0
297,trois cent trente cinq,0
298,neuf cent trente neuf,0
299,cent vingt trois dix sept,1
300,sept cent neuf neuf,1
301,trois cent quatre vingt quatorze,0
302,trois cent vingt,0
303,cinq cent soixante huit,0
304,cinq cent quatre vingt quatre,0
305,six seize,1
306,six cent soixante quatorze,0
307,huit cent quarante huit,0
308,huit cent huit,0
309,trente six cinq cent deux,1
310,huit cent soixante dix neuf,0
311,cent soixante dix sept,0
312,six cent dix,0
313,quarante cinq cent quinze,1
314,vingt et un sept cent six,1
315,trente quatre six,1
316,onze trois cent sept,1
317,cinq cent trente six,0
318,douze cinq cent douze,1
319,six cent douze six,1
320,cent douze cinq cent dix,1
321,cinq cents soixante neuf,1
322,mille deux cent trente,1
323,cent soixante seize,0
324,cent quatre vingt dix sept,0
325,cent cinq cent dix sept,1
326,cinq cents quarante et un,1
327,quarante cinq cent huit,1
328,deux cent neuf dix neuf,1
329,neuf cent seize,0
330,cinq cent un,0
331,six cent trente quatre,0
332,neuf cent dix,0
333,quatre vingt quatre,0
334,trente neuf sept cent dix,1
335,onze six cent trente,1
336,cinquante cinquante deux,1
337,cinq cent dix sept dix,1
338,trois cent soixante treize,0
339,trois huit cent vingt six,1
340,neuf huit cent dix neuf,1
341,cent quarante trois,0
342,cent huit cinq cent six,1
343,sept cent quatre six,1
344,trente neuf,0
345,sept cent huit,0
346,sept cent cinquante quatre,0
347,huit cent six huit cents,1
348,trois cent cinquante,0
349,quinze neuf cent dix neuf,1
350,neuf cent cinq,0
351,trente cent cinq,1
352,trente six six cent sept,1
353,neuf cent six quatre,1
354,treize soixante,1
355,cent trente soixante huit,1
356,neuf cent vingt quatre un,1
357,six cent vingt et un,0
358,cinquante sept cent seize,1
359,sept cent quatre cent un,1
360,quatre cent soixante dix sept,0
361,cinquante deux cent trois,1
362,cinq cent quinze onze,1
363,deux cent quatre vingt huit,0
364,quatorze,0
365,deux cent soixante treize,0
366,cinquante neuf cents,1
367,deux cent soixante quatorze,0
368,trois cent neuf cent six,1
369,deux cent dix sept quatre,1
370,quatre cent trente sept,0
371,six cent cinquante deux,0
372,cent vingt six huit cents,1
