,sents,labels
0,六十四十三,1
1,八百九十六,0
2,二百五十七,1
3,七百七八百,1
4,二百二十三,0
5,四百十百十,1
6,二百十四,1
7,七十四,0
8,四百八十四,0
9,五百八十一,0
10,三百七百七,1
11,五百四九百,1
12,二百十一十,1
13,百七,0
14,五百九十五,0
15,三七百十九,1
16,三十九十六,1
17,五百八十二,0
18,二十五七十,1
19,八十七三,1
20,五百七十八,0
21,三百九十一,0
22,二十四十八,1
23,二百,0
24,八百八十二,0
25,二百四十五,0
26,四百二十七,0
27,五百四十七,0
28,六百三十一,0
29,百百六十七,1
30,三百四十五,0
31,六十二,0
32,四百七十一,0
33,十四八百十,1
34,百十一,0
35,四百五,0
36,四百十七九,1
37,五百八十九,0
38,三四百九,1
39,七二百五十,1
40,七百百九,1
41,三百十一百,1
42,五百十七,0
43,百,0
44,三十八,0
45,三十八十四,1
46,八九十二,1
47,十二五十三,1
48,四十七,0
49,八百五十四,0
50,五百四三百,1
51,二十七百十,1
52,三三百五,1
53,八百四十八,0
54,十九五百四,1
55,三百一,0
56,五百六十五,0
57,三百三,0
58,九百九十五,1
59,三百,0
60,八百三十六,0
61,七百二十二,0
62,六百八十三,0
63,三十九二十,1
64,百十三千,1
65,三百四十,0
66,五百八十六,0
67,四十二五十,1
68,八十九十六,1
69,二百十五十,1
70,二百五,0
71,八百二百二,1
72,百四十,0
73,四百六十五,0
74,百七十八,0
75,八十七十六,1
76,八百十五十,1
77,百一八十六,1
78,十三八十四,1
79,六百九,0
80,六十一一,1
81,七百十四,0
82,九十九,0
83,三九百十三,1
84,二四十六,1
85,九百八十五,0
86,九百九十三,0
87,八百十四,0
88,二百十二,0
89,三百九十二,0
90,五百七十五,0
91,八百一,0
92,四百七十五,0
93,五百八十八,0
94,五百三十八,0
95,百十九六百,1
96,九百二,0
97,九百二十一,1
98,三五百十二,1
99,六百五十,0
100,十八八十六,1
101,二百九十三,0
102,七十五百一,1
103,九九百七,1
104,二百四十二,0
105,七十,0
106,八百五百十,1
107,六百八十七,0
108,八百二二十,1
109,三百四十三,0
110,三三百一,1
111,三十七八百,1
112,十六三十八,1
113,九百六十七,0
114,七百八十三,0
115,百四十七,0
116,百三十十二,1
117,十二百十三,1
118,百三十八,0
119,六十八百,1
120,三百七十,0
121,百二十四,0
122,九百九一,1
123,百四七百五,1
124,五百二十二,0
125,七百六十三,0
126,九十二七,1
127,二百六十三,0
128,三十九五十,1
129,百五五百八,1
130,九三百十五,1
131,七百十三六,1
132,六百,0
133,十三八百五,1
134,三百七,0
135,五百七十,0
136,二百九十五,1
137,八百九十二,1
138,四百二九百,1
139,百八十四,1
140,五十百十三,1
141,十二二百,1
142,五百十,0
143,五四百,1
144,二百六十四,0
145,七十四十三,1
146,八百三十三,0
147,七百七十四,0
148,八百四十八,0
149,四百六十七,0
150,九百十十六,1
151,三百二十六,0
152,三百九十六,0
153,六百二十五,0
154,八百四十九,0
155,九百二十九,0
156,七十三百六,1
157,三百六,1
158,八十一,0
159,九百二十七,0
160,九百三十九,0
161,七百七十三,0
162,三七百二十,1
163,五百五十八,0
164,二百三十四,0
165,五百十五九,1
166,三百九十,0
167,百五十三,0
168,七十五十一,1
169,九百五二百,1
170,三百五十六,0
171,十五三十,1
172,百六,0
173,七百九十六,0
174,十二九百一,1
175,二百九十,0
176,百八十四七,1
177,八百十九百,1
178,百六十百十,1
179,四百二十四,0
180,六百九百一,1
181,三百七十六,0
182,百八十二,0
183,三百四十五,0
184,百三六百九,1
185,三百七十四,0
186,六十五百,1
187,七百五十二,1
188,百九十八四,1
189,四百七十,0
190,六百五十六,1
191,四百十,0
192,三百三,0
193,四百五十三,0
194,百十二,0
195,二十七百二,1
196,四百六十六,1
197,百六九百九,1
198,三百五十七,0
199,六百九十八,0
200,百二十四,0
201,二百三十七,0
202,九百五十四,0
203,四百三十,0
204,八百七十三,0
205,二七百二十,1
206,四百六十九,0
207,九百七十三,0
208,四百九十,0
209,百六,0
210,七百九十二,1
211,五百十六,0
212,五百七十一,0
213,六百二十三,0
214,百六十七七,1
215,三百九十九,0
216,十五九十五,1
217,百二百十,1
218,百二四百十,1
219,六十五,0
220,八百四百二,1
221,九十八,0
222,四百一六,1
223,五百六八,1
224,八十六七十,1
225,九百七六十,1
226,六百二十四,1
227,十四七十九,1
228,百六十二二,1
229,六十八一,1
230,十三七百八,1
231,九百四十四,1
232,百六百十三,1
233,百十八百六,1
234,六百四十八,0
235,四百十九三,1
236,百六二十,1
237,七十八,0
238,四百七十五,0
239,五百二十八,0
240,四百八十三,0
241,百三,1
242,五七百七,1
243,五百九十二,0
244,二百五百七,1
245,九百三十八,0
246,四百十一二,1
247,四百三十六,0
248,九百六十九,0
249,十一九百,1
250,八十二百,1
251,二百二十八,0
252,六十八,0
253,二百二十六,0
254,六百八十二,0
255,百五十四三,1
256,百九十九,0
257,六百二十一,1
258,十四,0
259,十八三十三,1
260,八十三百十,1
261,十六七百,1
262,三百十四三,1
263,五百四十五,0
264,七十七百七,1
265,二百四十七,0
266,二十一,1
267,五百一千,1
268,四十九百四,1
269,二百四十二,0
270,八百百十二,1
271,九百二十三,0
272,九百四十三,0
273,二百二十,0
274,七十,0
275,八百七四百,1
276,十九三百九,1
277,七百六十,0
278,十一九十九,1
279,六十九百六,1
280,百四十二,1
281,八百十七,0
282,三十六十一,1
283,十四十四,1
284,六十三四百,1
285,三百三十八,0
286,八百七十九,0
287,百十四,0
288,三百十六二,1
289,九百七十四,0
290,四百八百四,1
291,八百三十三,0
292,九百五十二,0
293,五三,1
294,百十六十九,1
295,十六五十八,1
296,三十二,0
297,七六百四,1
298,六百三,0
299,六百二十三,0
300,二十二十五,1
301,三百五百三,1
302,三百三十九,0
303,六十八,1
304,九百十六百,1
305,十三七百八,1
306,五百七十一,0
307,百七三十四,1
308,六百十六,0
309,五七十一,1
310,三百十千,1
311,九百五十,0
312,百七十一百,1
313,八百二十,1
314,二百十九十,1
315,四四百九,1
316,十四百五十,1
317,八十六八,1
318,九百七,0
319,二百六十五,1
320,九百四五百,1
321,二十一三十,1
322,百九十二百,1
323,二十三十一,1
324,百九十七,0
325,七十四,0
326,十七九十五,1
327,百十五百十,1
328,百二四百,1
329,五百九十六,0
330,千四百三十,1
331,百二十一,0
332,六百二十二,1
333,二百四十三,0
334,三百七十一,0
335,七十六九,1
336,六百九十四,0
337,六百九十四,0
338,二百四百十,1
339,七百二十七,0
340,九百四十八,0
341,四十九百九,1
342,四百七十,0
343,百二十六,0
344,五百五十三,0
345,五二十二,1
346,五百二十七,0
347,百九百九,1
348,百一二百四,1
349,百十二,0
